urn,school_name,website,scrape_time,status,all_emails,phone_numbers,address,staff_names,governor_names,source,retry_needed,retry_count
100441,St Joseph's Catholic Primary School,https://www.st-josephs.islington.sch.uk,2026-02-14T18:04:13.285278,success,"[""office@st-josephs.islington.sch.uk"", ""st_joes_pfa@outlook.com"", ""asc@st-josephs.islington.sch.uk""]",[],"Postal Address: Highgate Hill, London N19 5NE","[{""name"": ""Deputy Designated Safeguarding Lead""}, {""name"": ""Miss"", ""role"": ""Mc""}, {""name"": ""Noronha"", ""role"": ""Mrs""}, {""name"": ""Mullett"", ""role"": ""Mrs""}, {""name"": ""Forbes"", ""role"": ""Mr""}, {""name"": ""Smith"", ""role"": ""Miss""}, {""name"": ""Drumm\n\n\t\n\nReligious Education Lead\n\n\t\n\nMrs Piscitelli\n\n\n\n\n\u00a0\n\n\t\n\nViolet\n\n\t\n\nMr Hogan\n\n\t\n\nPhase Leader"", ""role"": ""Mr""}, {""name"": ""Leech\n\n\t\n\n\u00a0\n\n\t\n\nMrs Shoderu\n\nMrs Francis\n\nMrs Feeley\n\n\n\n\n\u00a0\n\n\t\n\nIndigo\n\n\t\n\nMiss Quinn\n\n\t\n\n\u00a0\n\n\n\n\nYear"", ""role"": ""Mr""}, {""name"": ""Gormley\n\n\t\n\nScience Lead\n\n\t\n\nMiss Morrison\n\nMiss Camara\n\n\n\n\n\u00a0\n\n\t\n\nBlue\n\n\t\n\nMr Mc"", ""role"": ""Miss""}, {""name"": ""Mc"", ""role"": ""Mr""}, {""name"": ""Nicholson\n\n\t\n\nPhase Leader"", ""role"": ""Miss""}, {""name"": ""Constant\n\nMrs Bewley\n\nMr Kelly\n\n\u00a0\n\n\n\n\n\u00a0\n\n\t\n\nGreen\n\n\t\n\nMr"", ""role"": ""Miss""}, {""name"": ""Butterworth\n\n\t\n\n\u00a0\n\n\t\n\nMrs Fallon\n\n\n\n\n\u00a0\n\n\t\n\nYellow\n\n\t\n\nMiss Duffy\n\n\t\n\nPhase Leader"", ""role"": ""Miss""}, {""name"": ""Krystina\n\nMr Kelly\n\n\n\n\nYear"", ""role"": ""Miss""}, {""name"": ""Woolcott\n\n\t\n\n\u00a0\n\n\t\n\nMrs Lynch\n\n\n\n\n\u00a0\n\n\t\n\nOrange\n\n\t\n\nMr Cox\n\n\t\n\n\u00a0\n\n\t\n\nMrs Grimes\n\n\n\n\nReception\n\n\t\n\nRed\n\n\t\n\nMiss Clarke\n\n\t\n\nHistory"", ""role"": ""Mr""}]",[],old,0,0
100442,St Jude and St Paul's CofE Primary School,https://www.stjudestpauls.co.uk,2026-02-14T18:04:42.921319,no_emails,[],[],,[],[],old,0,0
100443,St Luke's CofE Primary School,https://www.st-lukesislington.co.uk,2026-02-14T18:04:43.188004,no_emails,[],[],,[],[],old,0,0
100444,St Mark's CofE Primary School,https://www.st-marks.islington.sch.uk,2026-02-14T18:04:43.326720,no_emails,[],[],,[],[],old,0,0
100446,St Mary's CofE Primary School,https://www.stmarys.islington.sch.uk,2026-02-14T18:04:44.707262,no_emails,[],[],,[],[],old,0,0
100447,St Peter and St Paul Catholic Primary School,https://www.stpetersandstpauls.islington.sch.uk,2026-02-14T18:04:45.055821,no_emails,[],[],,[],[],old,0,0
100448,St Andrew's (Barnsbury) Church of England Primary School,https://www.standrews.islington.sch.uk,2026-02-14T18:04:46.623222,no_emails,[],[],,[],[],old,0,0
100449,St Joan of Arc RC Primary School,https://www.st-joanofarc.islington.sch.uk,2026-02-14T18:04:46.826262,no_emails,[],[],,[],[],old,0,0
100450,Christ The King Catholic Primary School,https://www.ctks.co.uk,2026-02-14T18:04:46.978455,no_emails,[],[],,[],[],old,0,0
100453,Beacon High,http://www.beaconhigh.org,2026-02-14T18:04:47.174361,no_emails,[],[],,[],[],old,0,0
100455,Highbury Fields School,http://www.highburyfields.islington.sch.uk,2026-02-14T18:04:47.539065,no_emails,[],[],,[],[],old,0,0
100457,Elizabeth Garrett Anderson School,http://www.egaschool.co.uk,2026-02-14T18:04:48.416651,no_emails,[],[],,[],[],old,0,0
100458,Central Foundation Boys' School,http://www.centralfoundationboys.co.uk,2026-02-14T18:04:48.823496,no_emails,[],[],,[],[],old,0,0
100459,St Aloysius RC College,https://www.sta.islington.sch.uk,2026-02-14T18:04:49.205034,no_emails,[],[],,[],[],old,0,0
100467,Richard Cloudesley School,https://www.cloudesley.islington.sch.uk,2026-02-14T18:04:49.543828,no_emails,[],[],,[],[],old,0,0
100469,Samuel Rhodes MLD School,https://www.samuelrhodes.islington.sch.uk,2026-02-14T18:04:50.694651,no_emails,[],[],,[],[],old,0,0
100472,Golborne & Maxilla Nursery School,http://www.golborne.rbkc.sch.uk,2026-02-14T18:04:50.872104,no_emails,[],[],,[],[],old,0,0
100473,St Anne's & Avondale Park Nursery School,http://www.apsafederation.com,2026-02-14T18:04:52.196897,no_emails,[],[],,[],[],old,0,0
100474,Chelsea Open Air Nursery School,http://www.coans.rbkc.sch.uk,2026-02-14T18:04:52.907062,no_emails,[],[],,[],[],old,0,0
100477,Ashburnham Community School,http://ashburnhamcommunityschool.org.uk,2026-02-14T18:04:54.449270,no_emails,[],[],,[],[],old,0,0
100478,Barlby Primary School,http://www.barlby.rbkc.sch.uk,2026-02-14T18:04:54.590123,no_emails,[],[],"Treverton Street
London
W10 6DW",[],[],old,0,0
100479,Bevington Primary School,http://www.bevington.rbkc.sch.uk,2026-02-14T18:05:18.568175,success,"[""info@bevington.rbkc.sch.uk"", ""sbm@bevington.rbkc.sch.uk"", ""senco@bevington.rbkc.sch.uk"", ""attendance@bevington.rbkc.sch.uk""]",[],"Bevington Road
London
W10 5TW","[{""name"": ""Mr Birdi""}, {""name"": ""Mr Evans\u00a0\n\nAssistant""}, {""name"": ""Mrs Slater\u00a0\n\nAssistant""}, {""name"": ""Mr Evans""}, {""name"": ""Mrs Slater""}, {""name"": ""Birdi\u00a0\n\nHead"", ""role"": ""Mr""}, {""name"": ""Evans\u00a0\n\nAssistant Headteacher"", ""role"": ""Mr""}, {""name"": ""Slater\u00a0\n\nAssistant Headteacher"", ""role"": ""Mrs""}, {""name"": ""Brown\u00a0\n\nSchool Business Manager"", ""role"": ""Miss""}, {""name"": ""Preece"", ""role"": ""Miss""}, {""name"": ""Dorrian"", ""role"": ""Miss""}, {""name"": ""Collett\u00a0\n\nTeaching Staff"", ""role"": ""Mr""}, {""name"": ""Preece\n\n\t\n\nMiss Culhane\n\nMiss Durrani\n\nMs Khairoun\n\n\n\n\nYear"", ""role"": ""Miss""}, {""name"": ""Dorrian\n\n\t\n\nMiss Hoban\n\n\n\n\nYear"", ""role"": ""Miss""}, {""name"": ""Aarab\n\n\t\n\nMiss Pommells\n\n\n\n\nYear"", ""role"": ""Miss""}]",[],old,0,0
100480,Bousfield Primary School,https://www.bousfieldprimaryschool.co.uk,2026-02-14T18:05:50.917559,success,"[""info@bousfield.rbkc.sch.uk""]",[],,"[{""name"": ""Shaima Mezzi"", ""role"": ""Mrs""}, {""name"": ""Mandy Bailey"", ""role"": ""Ms""}, {""name"": ""Alice Boyd"", ""role"": ""Ms""}, {""name"": ""Fiona Sinclair"", ""role"": ""Ms""}]","[{""name"": ""Carers\n\t\nLearning\n\t\nContact Us\nOur School""}, {""name"": ""Values\nGoverning Body\nOur History\nPupil Wellbeing\nGoverning Body""}]",old,0,0
100481,Colville Primary School,http://www.colville.rbkc.sch.uk,2026-02-14T18:06:27.249632,success,"[""info@colville.rbkc.sch.uk"", ""safeguarding@colville.rbkc.sch.uk"", ""admissions@colville.rbkc.sch.uk""]","[""02072296540""]","Lonsdale Road, London, W11 2DF",[],"[{""name"": ""Buuren\n\nJennifer Stahl\n\nSophie Forsyth\n\nParent""}]",old,0,0
100482,Fox Primary School,http://www.fox.rbkc.sch.uk,2026-02-14T18:06:58.481724,no_emails,[],[],,[],[],old,0,0
100483,Marlborough Primary School,http://www.marlborough.rbkc.sch.uk,2026-02-14T18:07:21.298780,success,"[""info@marlborough.rbkc.sch.uk"", ""daniel.cox@marlborough.rbkc.sch.uk""]",[],"Draycott Avenue, Chelsea, London SW3 3AP",[],[],old,0,0
100485,Oxford Gardens Primary School,http://www.oxfordgardens.rbkc.sch.uk,2026-02-14T18:07:51.712407,success,"[""info@oxfordgardens.rbkc.sch.uk""]",[],"Postal Address
Oxford Gardens Primary School
Oxford Gardens
London",[],"[{""name"": ""Linda Murphy"", ""role"": ""Mrs""}, {""name"": ""Christine Blewett\n\nKeep"", ""role"": ""Ms""}]",old,0,0
100486,Park Walk Primary School,http://www.parkwalk.rbkc.sch.uk,2026-02-14T18:08:14.941530,success,"[""info@parkwalk.rbkc.sch.uk"", ""send@parkwalkwalk.rbkc.sch.uk"", ""dsl@parkwalk.rbkc.sc.uk""]",[],"Our address is
Park Walk Primary School
Park Walk
London","[{""name"": ""Senior Leadership\u00a0Team\n\n\nMr Paul Cotter\tExecutive""}, {""name"": ""Fox Federation\n\n\nMs Kate Webster""}, {""name"": ""Leary\n\n\t\n\nDeputy\u00a0Headteacher\n\nDesignated Safeguarding Lead\n\n\nMs Amy Formosa\t\n\nAssistant""}, {""name"": ""Leary\n\n\t\n\nDeputy\u00a0Headteacher\n\nDesignated Safeguarding Lead\n\n\nMs Amy Formosa""}, {""name"": ""Paul Cotter\tExecutive Headteacher"", ""role"": ""Mr""}, {""name"": ""Kate Webster\n\n\t\n\nHead"", ""role"": ""Ms""}, {""name"": ""Sinead"", ""role"": ""Ms""}, {""name"": ""Amy Formosa\t\n\nAssistant Headteacher"", ""role"": ""Ms""}, {""name"": ""Clemency Coulibaly"", ""role"": ""Ms""}, {""name"": ""Bish"", ""role"": ""Ms""}, {""name"": ""Haileselassie"", ""role"": ""Mrs""}, {""name"": ""Hemra"", ""role"": ""Ms""}, {""name"": ""Allain"", ""role"": ""Mrs""}, {""name"": ""Chowdhury"", ""role"": ""Ms""}, {""name"": ""Broomes"", ""role"": ""Miss""}]",[],old,0,0
100487,Avondale Park Primary School,http://www.avondalepark.rbkc.sch.uk,2026-02-14T18:08:39.279017,no_emails,[],[],,[],[],old,0,0
100488,Thomas Jones Primary School,http://www.thomasjonesschool.org,2026-02-14T18:09:01.762053,success,"[""info@thomasjones.co.uk"", ""-schooluniform@thomasjones.co.uk"", ""-clubs@thomasjones.co.uk"", ""-patron@thomasjones.co.uk""]",[],"We apologize for the inconvenience, but the page you were trying to access is not at this address. You can use the links below to help you find what you are looking for.
If you are certain you have the correct web address but are encountering an error, please contact the site administration.
Thank you.
You might have been looking for…",[],"[{""name"": ""Janice Hall\n\nClerical Assistant"", ""role"": ""Ms""}, {""name"": ""Angela Briscoe\n\nSpecial Educational Needs Leader"", ""role"": ""Ms""}, {""name"": ""Lindsay Johnson\n\nFiltering"", ""role"": ""Ms""}, {""name"": ""Scott Gourley"", ""role"": ""Mr""}, {""name"": ""Lindsay Johnson"", ""role"": ""Ms""}, {""name"": ""Harriet Bingley\n\nEmail Contact List"", ""role"": ""Ms""}, {""name"": ""David Sellens""}, {""name"": ""Scott Gourley\n\n\t\n\nStaff""}, {""name"": ""Local Authority""}]",old,0,0
100489,Christ Church CofE Primary School,http://www.ccht.rbkc.sch.uk,2026-02-14T18:09:43.860046,no_emails,[],[],,[],[],old,0,0
100490,Holy Trinity CofE Primary School,http://www.ccht.rbkc.sch.uk,2026-02-14T18:10:06.731031,no_emails,[],[],,[],[],old,0,0
100491,Oratory Roman Catholic Primary School,http://www.oratory.rbkc.sch.uk,2026-02-14T18:10:29.498289,no_emails,[],[],"Cale Street,
London SW3 6QH",[],"[{""name"": ""Mrs Alice Steinart""}, {""name"": ""Oratory Primary School""}, {""name"": ""Governors\nFoundation""}, {""name"": ""Governors\nLocal Authority""}, {""name"": ""Miss Emily Boon\nFoundation""}, {""name"": ""None Recorded\n\nMiss Francisca Montgomery\nFoundation""}, {""name"": ""Mr Andrew Cusack\nFoundation""}, {""name"": ""Ginnie\nFoundation""}, {""name"": ""None Recorded\n\nMrs Alex Yates\nFoundation""}, {""name"": ""None Recorded\n\nLady Noelle Leitch\nFoundation""}, {""name"": ""None Recorded\n\nMr Markus Kiraly\nParent""}, {""name"": ""Wilz\nParent""}, {""name"": ""None Recorded\n\nMrs Georgina Reber\u00a0\nStaff""}, {""name"": ""The Newman Fund""}, {""name"": ""Gyimah\n\nPast""}]",old,0,0
100492,St Thomas' CofE Primary School,https://www.stfed.rbkc.sch.uk,2026-02-14T18:10:59.283546,success,"[""stadmin@lifefull.org"", ""scsjadmin@lifefull.org"", ""sencost@lifefull.org"", ""sencoscsj@lifefull.org""]",[],,[],[],old,0,0
100493,St Barnabas and St Philip's CofE Primary School,http://www.sbsp.rbkc.sch.uk,2026-02-14T18:11:23.524525,success,"[""admin@sbsp.rbkc.sch.uk""]",[],"Address:
St Barnabas and St Philip's Church of England Primary School
Pembroke Mews
58 Earls Court Road","[{""name"": ""Contact Names""}, {""name"": ""Rebecca Timms"", ""role"": ""Miss""}, {""name"": ""Katerina Papalouka\n\nAdmin Team"", ""role"": ""Mrs""}, {""name"": ""Zalfa Hanna\u00a0\n\nIn"", ""role"": ""Ms""}]",[],old,0,0
100494,Saint Francis of Assisi Catholic Primary School,http://www.stfrancisofassisi.org.uk,2026-02-14T18:11:47.392987,success,"[""office@franassisi.co.uk""]",[],"Address: Treadgold Street, Notting Hill, London. W11 4BJ","[{""name"": ""Tamsin Roberts\n\nInterim""}, {""name"": ""Paula Murphy\u00a0\n\nInterim Assistant""}, {""name"": ""Mrs Susana Sousa\n\nExecutive""}, {""name"": ""Jacinta Reilly\n\nFinance"", ""role"": ""Ms""}, {""name"": ""Paula Murphy\u00a0\n\nInterim Assistant\u00a0Head"", ""role"": ""Ms""}, {""name"": ""Colin Bartlett"", ""role"": ""Mr""}, {""name"": ""Susana Sousa\n\nExecutive Headteacher"", ""role"": ""Mrs""}, {""name"": ""Kathleen Williams\n\nAddress"", ""role"": ""Mrs""}]",[],old,0,0
100495,St Clement and St James CofE Primary School,https://www.stfed.rbkc.sch.uk,2026-02-14T18:12:12.191957,success,"[""stadmin@lifefull.org"", ""scsjadmin@lifefull.org"", ""sencost@lifefull.org"", ""sencoscsj@lifefull.org""]",[],,[],[],old,0,0
100497,St Mary Abbots CofE Primary School,http://www.sma.rbkc.sch.uk,2026-02-14T18:12:34.806508,no_emails,[],[],,[],[],old,0,0
100498,St Cuthbert with St Matthias CofE Primary School,http://www.scwsm.rbkc.sch.uk,2026-02-14T18:12:57.393479,no_emails,[],[],,[],[],old,0,0
100499,Saint Mary's Catholic Primary School,http://www.st-marys.rbkc.sch.uk,2026-02-14T18:12:57.605060,no_emails,[],[],,[],[],old,0,0
100500,Servite RC Primary School,https://www.serviteprimaryschool.co.uk,2026-02-14T18:12:57.984487,no_emails,[],[],,[],[],old,0,0
100503,All Saints Catholic College,http://www.allsaintscc.org.uk,2026-02-14T18:12:58.411097,no_emails,[],[],,[],[],old,0,0
100504,Our Lady of Victories RC Primary School,http://www.olov.rbkc.sch.uk,2026-02-14T18:12:58.691232,no_emails,[],[],,[],[],old,0,0
100505,St Charles Catholic Primary School,http://www.st-charles.rbkc.sch.uk,2026-02-14T18:12:59.262166,no_emails,[],[],,[],[],old,0,0
100549,Chelsea Community Hospital School,https://www.cchs.org.uk,2026-02-14T18:13:00.244429,no_emails,[],[],,[],[],old,0,0
100550,Triangle Nursery School,https://www.trianglenursery.org,2026-02-14T18:13:00.435009,no_emails,[],[],,[],[],old,0,0
100551,Effra Nursery School and Children's Centre,https://effra.lambeth.sch.uk,2026-02-14T18:13:01.272793,no_emails,[],[],,[],[],old,0,0
100552,Ethelred Nursery School and Children's Centre,https://www.ethelrednursery.org.uk,2026-02-14T18:13:01.620452,no_emails,[],[],,[],[],old,0,0
100553,Maytree Nursery School,https://www.maytree-nursery.lambeth.sch.uk,2026-02-14T18:13:01.971560,no_emails,[],[],,[],[],old,0,0
100556,Ashmole Primary School,https://www.ashmoleprimaryschool.org.uk,2026-02-14T18:13:02.639721,no_emails,[],[],,[],[],old,0,0
100560,Clapham Manor Primary School,https://www.claphammanor.lambeth.sch.uk,2026-02-14T18:13:03.029503,no_emails,[],[],,[],[],old,0,0
100564,Granton Primary School,https://www.grantonprimary.org.uk,2026-02-14T18:13:03.390679,no_emails,[],[],,[],[],old,0,0
100566,Heathbrook Primary School,https://www.heathbrook.org,2026-02-14T18:13:04.208040,no_emails,[],[],,[],[],old,0,0
100567,Henry Cavendish Primary School,http://www.henrycavendish.co.uk,2026-02-14T18:13:04.396074,no_emails,[],[],,[],[],old,0,0
100572,Jessop Primary School,https://www.jessop.lambeth.sch.uk,2026-02-14T18:13:04.674527,no_emails,[],[],,[],[],old,0,0
100574,Kingswood Primary School,https://www.ghf.london,2026-02-14T18:13:05.141532,no_emails,[],[],,[],[],old,0,0
100576,Larkhall Primary Campus,https://www.larkhallprimary.co.uk,2026-02-14T18:13:05.657284,no_emails,[],[],,[],[],old,0,0
100577,Paxton Primary School,https://www.paxtonprimary.co.uk,2026-02-14T18:13:05.910394,no_emails,[],[],,[],[],old,0,0
100578,Richard Atkins Primary School,https://www.richardatkins.org,2026-02-14T18:13:06.109394,no_emails,[],[],,[],[],old,0,0
100582,Stockwell Primary School,http://www.stockwell-pri.lambeth.sch.uk,2026-02-14T18:14:35.665351,success,"[""clericalofficer2@stockwell-pri.lambeth.sch.uk"", ""bjsfinance@bonneville-primary.lambeth.sch.uk""]",[],"Please ensure the school office have updated mobile numbers and email addresses as we now also communicate by text/email
96% of families believe the school provides opportunities that help their child to learn
Updated school letters have been added to the news page on the website
98% of families believe the curriculum offered to the children is broad and balanced","[{""name"": ""Andrea Parker""}, {""name"": ""Andrea Parker\n\nHead"", ""role"": ""Ms""}, {""name"": ""Zenia Mc"", ""role"": ""Ms""}]","[{""name"": ""Ms Andrea Parker""}, {""name"": ""Andrea Parker""}, {""name"": ""Intosh\nSafeguarding Link""}, {""name"": ""Mr Paul Todd\nSafeguarding Link""}, {""name"": ""Andrea Parker\nHead"", ""role"": ""Ms""}, {""name"": ""Zenia Mc"", ""role"": ""Ms""}, {""name"": ""Paul Todd\nSafeguarding Link Governor"", ""role"": ""Mr""}, {""name"": ""Ceris Fender"", ""role"": ""Mrs""}, {""name"": ""Kathryn Congdon\nDesignated Safeguarding Lead"", ""role"": ""Mrs""}, {""name"": ""Cidalia Fraga"", ""role"": ""Mrs""}, {""name"": ""Andrea Parker\n\nHead"", ""role"": ""Ms""}, {""name"": ""School Structure""}, {""name"": ""Pupils\nSubject Access Request Form\nSchool""}]",old,0,0
