URN,School_Name,Website,All_Emails,Has_Pupil_Premium,Has_Governors,Has_SEND,Ofsted_Mention,Postcode,Town,Region,Scrape_Date
100022,Richard Cobden Primary School,http://www.rcobden.camden.sch.uk/,admin@rcobden.camden.sch.uk,0,0,0,,NW1 0LL,London,London,2026-02-14T06:18:39.430256
100023,Torriano Primary School,http://www.torriano.camden.sch.uk/,admin@torriano.camden.sch.uk,1,1,1,outstanding,NW5 2SJ,London,London,2026-02-14T06:18:46.607505
100026,Fitzjohn's Primary School,http://www.fitzjohns.camden.sch.uk/,"admin@fitzjohns.camden.sch.uk, admin@fitzjohns.camden.sch.uk",0,1,1,,NW3 6NP,London,London,2026-02-14T06:19:27.852293
100027,Eleanor Palmer Primary School,http://www.eleanorpalmer.camden.sch.uk/,admin@eleanorpalmer.camden.sch.uk,0,0,0,,NW5 2JA,London,London,2026-02-14T06:19:32.841884
100028,"Christ Church Primary School, Hampstead",http://www.christchurchschool.co.uk/,admin@cchurchnw3.camden.sch.uk,0,0,0,outstanding,NW3 1JH,London,London,2026-02-14T06:19:39.661804
100029,Christ Church School,http://www.cchurchnw1.camden.sch.uk,,1,1,1,good,NW1 4BD,London,London,2026-02-14T06:19:45.724027
100030,Emmanuel Church of England Primary School,http://www.emmanuel.camden.sch.uk/,,0,0,0,good,NW6 1TF,London,London,2026-02-14T06:19:50.963262
100031,Hampstead Parochial Church of England Primary School,http://www.hampsteadprim.camden.sch.uk/,,0,0,0,,NW3 6TX,London,London,2026-02-14T06:19:57.439028
100032,"Holy Trinity CofE Primary School, NW3",https://www.holytrinitynw3.co.uk,"admin@holytrinitynw3.camden.sch.uk, admin@holytrinitynw3.camden.sch.uk",0,0,0,,NW3 5SQ,London,London,2026-02-14T06:20:04.909600
100033,"Holy Trinity and Saint Silas CofE Primary School, NW1",http://www.holytrinitynw1.camden.sch.uk/,admin@holytrinitynw1.camden.sch.uk,1,1,1,,NW1 8DE,London,London,2026-02-14T06:20:12.946751
100034,Kentish Town Church of England Primary School,http://www.kentishtown.camden.sch.uk/,"admin@kentishtown.camden.sch.uk, admin@kentishtown.camden.sch.uk, admin@kentishtown.camden.sch.uk, admin@kentishtown.camden.sch.uk",0,0,0,good,NW5 2TU,London,London,2026-02-14T06:20:19.812741
100035,Rosary Catholic Primary School,http://www.rosary.camden.sch.uk/,admin@rosary.camden.sch.uk,0,0,0,,NW3 2AE,London,London,2026-02-14T06:20:26.533169
100036,St Alban's Church of England Primary School,https://www.stalbanscamden.co.uk,admin@stalbans.camden.sch.uk,0,1,0,,EC1N 7SD,London,London,2026-02-14T06:20:32.184716
100040,St George the Martyr Church of England Primary School,http://www.stgeorge.camden.sch.uk/,admin@stgeorge.camden.sch.uk,0,1,0,outstanding,WC1N 2NX,London,London,2026-02-14T06:20:38.969482
100041,St Josephs Catholic Primary School,http://www.stjosephs.camden.sch.uk,admin@stjosephs.camden.sch.uk,0,1,0,,WC2B 5NA,London,London,2026-02-14T06:20:44.665330
100042,St Mary's Kilburn Church of England Primary School,http://www.stmarykilburn.camden.sch.uk/,admin@stmarykilburn.camden.sch.uk,0,1,0,outstanding,NW6 4PG,London,London,2026-02-14T06:20:51.230913
100043,St Mary and St Pancras Church of England Primary School,https://www.stmp.camden.sch.uk,admin@stmp.camden.sch.uk,0,0,1,,NW1 1QP,London,London,2026-02-14T06:20:58.016406
100045,St Patrick's Catholic Primary School,http://www.stpatricks.camden.sch.uk/,admin@stpatricks.camden.sch.uk,0,1,0,,NW5 3AH,London,London,2026-02-14T06:21:04.893372
100046,St Paul's Church of England Primary School,http://www.stpauls.camden.sch.uk,admin@stpauls.camden.sch.uk,0,0,0,,NW3 3DS,London,London,2026-02-14T06:21:12.144479
100047,St Eugene de Mazenod Roman Catholic Primary School,http://www.steugene.camden.sch.uk/,admin@steugene.camden.sch.uk,0,1,0,outstanding,NW6 4LS,London,London,2026-02-14T06:21:17.496937
100048,Our Lady Roman Catholic Primary School,https://www.ourladys.camden.sch.uk/,admin@ourladys.camden.sch.uk,0,1,0,,NW1 0DP,London,London,2026-02-14T06:21:23.790925
100049,Haverstock School,http://www.haverstock.camden.sch.uk/,office@h3federation.org.uk,0,0,1,good,NW3 2BQ,London,London,2026-02-14T06:21:30.684810
100050,Parliament Hill School,http://www.parliamenthill.camden.sch.uk/,enquiries@parliamenthill.camden.sch.uk,0,0,0,outstanding,NW5 1RL,London,London,2026-02-14T06:21:38.236665
100051,Regent High School,http://www.regenthighschool.org.uk/,enquiries@regenthighschool.org.uk,0,0,0,,NW1 1RX,London,London,2026-02-14T06:21:45.353954
100052,Hampstead School,http://www.hampsteadschool.org.uk/,enquiries@hampsteadschool.org.uk,0,1,0,,NW2 3RT,London,London,2026-02-14T06:21:52.441618
100053,Acland Burghley School,http://www.aclandburghley.camden.sch.uk/,info@aclandburghley.camden.sch.uk,0,0,0,,NW5 1UJ,London,London,2026-02-14T06:21:58.898929
100054,The Camden School for Girls,http://www.camdengirls.camden.sch.uk,,0,0,0,,NW5 2DB,London,London,2026-02-14T06:22:04.768228
100055,Maria Fidelis Catholic School FCJ,http://www.mariafidelis.camden.sch.uk/,,0,0,1,good,NW1 1LY,London,London,2026-02-14T06:22:11.065880
100056,William Ellis School,http://www.williamellis.camden.sch.uk/,,0,0,0,,NW5 1RN,London,London,2026-02-14T06:22:18.301100
100059,La Sainte Union Catholic Secondary School,http://www.lasainteunion.org.uk/,general@lsu.camden.sch.uk,0,0,0,,NW5 1RP,London,London,2026-02-14T06:22:24.735555
100060,Children's Hospital School at Gt Ormond Street and UCH,https://www.goshschool.org/,,0,1,1,outstanding,WC1N 3JH,London,London,2026-02-14T06:22:31.506526
100091,Frank Barnes School for Deaf Children,https://www.fbarnes.camden.sch.uk,,1,1,0,,N1C 4BT,London,London,2026-02-14T06:22:37.677534
100092,Harmood School,http://harmood.h3federation.org.uk/,office@h3federation.org.uk,0,0,1,,NW1 8DP,London,London,2026-02-14T06:22:43.851283
100094,Royal Free Hospital Children's School,http://www.royalfree.camden.sch.uk/,,0,0,0,,NW3 2QG,London,London,2026-02-14T06:22:50.611325
100096,Swiss Cottage School - Development & Research Centre,https://www.swisscottage.camden.sch.uk,admin@swisscottage.camden.sch.uk,0,0,0,,NW8 6HX,London,London,2026-02-14T06:22:56.447965
100097,Rachel McMillan Nursery School and Children's Centre,https://www.rachelmcmillannursery.co.uk,,0,0,1,,SE8 3EH,London,London,2026-02-14T06:23:02.617918
100098,Pound Park Nursery School,http://www.poundparknursery.co.uk/,office@poundpark.greenwich.sch.uk,1,1,1,outstanding,SE7 8AF,London,London,2026-02-14T06:23:09.949903
100099,Abbey Wood Nursery School,http://abbeywoodnurseryschool.co.uk/,,0,0,1,,SE2 0SX,London,London,2026-02-14T06:23:15.945626
100102,Robert Owen Nursery School,https://www.robertowenearlyyears.org.uk,info@robertowen.greenwich.sch.uk,0,0,0,outstanding,SE10 0EA,London,London,2026-02-14T06:23:23.433587
100103,Newhaven Pupil Referral Unit,https://www.newhavenschool.co.uk,"info@newhaven.greenwich.sch.uk, info@newhaven.greenwich.sch.uk, nest@newhaven.greenwich.sch.uk, kingspark@newhaven.greenwich.sch.uk, qeh@newhaven.greenwich.sch.uk",0,0,0,,SE9 6HR,London,London,2026-02-14T06:23:30.397385
100114,Morden Mount Primary School,https://www.mordenmount.greenwich.sch.uk/,info@mordenmount.greenwich.sch.uk,0,0,0,,SE13 7QP,London,London,2026-02-14T06:23:36.798345
100115,Cherry Orchard Primary School,https://www.cherryorchardschool.org.uk,sao@cherryorchard.greenwich.sch.uk,0,0,0,,SE7 7DG,London,London,2026-02-14T06:23:43.170825
100120,Ealdham Primary School,https://www.ealdhamprimary.org.uk,sao@ealdham.greenwich.sch.uk,0,1,0,,SE9 6BP,London,London,2026-02-14T06:23:49.766528
100125,Fossdene Primary School,http://www.fossdene.greenwich.sch.uk,admin@fossdene.greenwich.sch.uk,0,0,0,,SE7 7NQ,London,London,2026-02-14T06:23:56.785004
100127,Gordon Primary School,https://www.gordonprimary.co.uk,,0,0,0,,SE9 1QG,London,London,2026-02-14T06:24:07.148040
100129,Haimo Primary School,http://www.haimoprimaryschool.co.uk,office@haimo.greenwich.sch.uk,0,1,0,good,SE9 6DY,London,London,2026-02-14T06:24:12.934363
100131,Henwick Primary School,http://www.henwickprimary.co.uk,schooloffice@henwick.greenwich.sch.uk,0,0,0,outstanding,SE9 6NZ,London,London,2026-02-14T06:24:23.260567
100134,Invicta Primary School,https://www.invictaprimaryschool.org.uk/,ADMIN@INVICTAPRIMARY.CO.UK,0,0,0,,SE3 7HE,London,London,2026-02-14T06:24:30.015554
100137,Meridian Primary School,https://www.meridian.greenwich.sch.uk,sao@meridian.greenwich.sch.uk,0,0,0,,SE10 9NY,London,London,2026-02-14T06:24:37.451846
100140,Plumcroft Primary School,https://www.plumcroftprimary.co.uk,"office@plumcroft.greenwich.sch.uk, office@plumcroft.greenwich.sch.uk",0,0,0,good,SE18 3HW,London,London,2026-02-14T06:24:48.310158
100141,Sherington Primary School,https://www.sheringtonprimary.co.uk,"sao@sherington.greenwich.sch.uk, sao@sherington.greenwich.sch.uk",0,1,0,,SE7 7JP,London,London,2026-02-14T06:24:57.175556
100142,Thorntree Primary School,https://www.thorntree.greenwich.sch.uk/,,0,0,0,good,SE7 8AE,London,London,2026-02-14T06:25:04.892600
100146,Wyborne Primary School,https://www.wyborne.greenwich.sch.uk/,office@wyborne.greenwich.sch.uk,0,0,0,,SE9 2EH,London,London,2026-02-14T06:25:10.948410
100149,Montbelle Primary School,https://www.montbelle.org.uk/,admin@montbelle.org.uk,0,0,0,good,SE9 3EY,London,London,2026-02-14T06:25:19.376715
100152,De Lucy Primary School,https://www.delucyprimaryschool.co.uk/,info@delucy.greenwich.sch.uk,0,0,0,,SE2 9PD,London,London,2026-02-14T06:25:25.644954
100155,Cardwell Primary School,https://www.cardwellschool.co.uk,,0,0,0,,SE18 5LP,London,London,2026-02-14T06:25:33.729815
100158,Heronsgate Primary School,https://www.heronsgate.greenwich.sch.uk,sao@heronsgate.greenwich.sch.uk,0,0,0,,SE28 0EA,London,London,2026-02-14T06:25:39.568626
100159,Linton Mead Primary School,https://www.lintonmead.org.uk,admin@lintonmead.greenwich.sch.uk,0,1,0,,SE28 8DT,London,London,2026-02-14T06:25:45.771621
100162,Greenslade Primary School,https://www.greensladeprimary.org.uk/,"office@greenslade.greenwich.sch.uk, senco@greenslade.greenwich.sch.uk",0,0,0,good,SE18 2QQ,London,London,2026-02-14T06:25:52.448208
100163,Mulgrave Primary School,https://www.mulgraveprimary.org.uk,office@mulgrave.greenwich.sch.uk,0,0,1,good,SE18 5DL,London,London,2026-02-14T06:25:59.833310
100164,Charlton Manor Primary School,https://www.charltonmanorprimary.co.uk/,"admin@charltonmanor.greenwich.sch.uk, sjohannesen@charltonmanor.greenwich.sch.uk",0,1,1,,SE7 7EF,London,London,2026-02-14T06:26:06.551452
100165,Christ Church Church of England Primary School,https://www.koinoniafederation.com,"sao@koinoniafederation.com, woolwichadmin@koinoniafederation.com",0,0,0,,SE10 0DZ,London,London,2026-02-14T06:26:13.027171
100166,"Christ Church Church of England Primary School, Shooters Hill",https://www.ccshprimary.org.uk,admin@ccprimary.greenwich.sch.uk,0,0,0,good,SE18 3RS,London,London,2026-02-14T06:26:24.213256
100167,Eltham Church of England Primary School,http://www.elthamcoeschool.co.uk/,sao1@elthamce.greenwich.sch.uk,0,0,0,,SE9 1TR,London,London,2026-02-14T06:26:31.592781
100168,Our Lady of Grace Catholic Primary School,https://www.ourladyofgracecatholicprimaryschool.co.uk,sao@ourladyofgraceschool.co.uk,0,1,0,outstanding,SE7 7HR,London,London,2026-02-14T06:26:38.025005
100169,St Joseph's Catholic Primary School,https://www.stjosephs.greenwich.sch.uk/,support@stjosephs.greenwich.sch.uk,0,1,1,outstanding,SE10 9AN,London,London,2026-02-14T06:26:43.346631
100170,St Margaret's Church of England Primary School,http://www.stmargaretce.greenwich.sch.uk,info@stmargaretce.greenwich.sch.uk,0,0,0,,SE18 7RL,London,London,2026-02-14T06:26:49.619422
100171,Saint Mary Magdalene Church of England All Through School,https://www.koinoniafederation.com,"sao@koinoniafederation.com, woolwichadmin@koinoniafederation.com",0,0,0,,SE18 5PW,London,London,2026-02-14T06:26:55.180713
100173,St Patrick's Catholic Primary School,http://www.lgfl.net/lgfl/leas/greenwich/schools/stpatricks/,enquiries@lgfl.net,1,0,0,outstanding,SE18 7QG,London,London,2026-02-14T06:27:02.070097
100174,St Alfege with St Peter's Church of England Primary School,http://www.stalfegeschool.org.uk,,0,1,0,,SE10 9RB,London,London,2026-02-14T06:27:09.205292
100175,St Peter's Catholic Primary School,https://www.stpeters.greenwich.sch.uk,sao1@stpeters.greenwich.sch.uk,0,1,0,,SE18 7BN,London,London,2026-02-14T06:27:16.755487
100176,St Thomas More Catholic Primary School,https://www.stmprimary.org,sao@stmprimary.org,0,0,0,,SE9 6NS,London,London,2026-02-14T06:27:22.785615
100177,St Thomas A Becket Roman Catholic Primary School,https://www.stthomasabecketsch.org.uk/,"fmurphy12.203@lgflmail.org, mharris59.203@lgflmail.org",0,0,0,,SE2 9LY,London,London,2026-02-14T06:27:29.695767
100179,Notre Dame Catholic Primary School,https://www.notredame.greenwich.sch.uk,"info@notredame.greenwich.sch.uk, enquiries@OscarRomero.co.uk",0,1,0,,SE18 3SJ,London,London,2026-02-14T06:27:35.619706
100180,St Margaret Clitherow Catholic Primary School,http://www.lgfl.net/lgfl/leas/greenwich/schools/stmargaretclitherow/,enquiries@lgfl.net,1,0,0,outstanding,SE28 8GB,London,London,2026-02-14T06:27:42.226127
100181,Bishop John Robinson Church of England Primary School,https://www.bishopjohnrobinsonprimary.co.uk/,,0,0,0,,SE28 8LW,London,London,2026-02-14T06:27:47.667566
100182,Eltham Hill School,http://elthamhill.com,,1,0,1,,SE9 5EE,London,London,2026-02-14T06:27:53.139676
100183,Plumstead Manor School,http://www.plumsteadmanor.com,info@plumsteadmanor.com,0,0,0,,SE18 1QF,London,London,2026-02-14T06:28:00.190547
100190,Thomas Tallis School,https://www.thomastallisschool.com,headteacher@thomastallis.org.uk,0,0,0,,SE3 9PX,London,London,2026-02-14T06:28:06.335167
100193,St Ursula's Convent School,https://www.stursulas.com,admin@stursulas.com,0,0,0,,SE10 8HN,London,London,2026-02-14T06:28:13.553984
100204,King's Oak School,https://www.kingsoakschool.co.uk,,0,0,0,,SE9 5LX,London,London,2026-02-14T06:28:19.825781
100212,Wentworth Nursery School and Children's Centre,https://www.wentworth.hackney.sch.uk,,0,0,0,,E9 5BY,London,London,2026-02-14T06:28:27.266906
100213,Comet Nursery School and Children's Centre,https://www.cometnurseryandcc.co.uk/website,admin@comet.hackney.sch.uk,0,0,1,outstanding,N1 5RF,London,London,2026-02-14T06:28:35.349120
100218,Berger Primary School,https://www.berger.hackney.sch.uk,,0,0,0,,E9 6HB,London,London,2026-02-14T06:28:41.426146
100223,Daubeney Primary School,https://www.daubeney.hackney.sch.uk,admin@daubeney.hackney.sch.uk,0,0,0,,E5 0EG,London,London,2026-02-14T06:28:46.567768
100225,Gainsborough Primary School,https://www.gainsborough.hackney.sch.uk,admin@gainsborough.hackney.sch.uk,1,1,1,,E9 5ND,London,London,2026-02-14T06:28:53.795966
100229,Lauriston School,https://www.lauriston.hackney.sch.uk,admin@lauriston.hackney.sch.uk,0,0,0,,E9 7JS,London,London,2026-02-14T06:28:59.183179
100230,London Fields Primary School,https://www.londonfields.hackney.sch.uk,information@londonfields.hackney.sch.uk,0,0,0,,E8 3RL,London,London,2026-02-14T06:29:05.127764
100231,Millfields Community School,http://www.millfields.hackney.sch.uk/,"info@millfields.hackney.sch.uk, info@millfields.hackney.sch.uk, info@millfields.hackney.sch.uk, info@millfields.hackney.sch.uk",0,1,1,good,E5 0SH,London,London,2026-02-14T06:29:12.254828
100232,Morningside Primary School,https://www.morningside.hackney.sch.uk,"admin@morningside.hackney.sch.uk, MASH@hackney.gov.uk",1,1,1,,E9 6LL,London,London,2026-02-14T06:29:23.022800
100235,Queensbridge Primary School,https://www.queensbridge.hackney.sch.uk,admin@queensbridge.hackney.sch.uk,0,0,1,outstanding,E8 4ET,London,London,2026-02-14T06:29:36.155671
100239,Princess May Primary School,https://www.princessmay.hackney.sch.uk/,,0,0,0,,N16 8DF,London,London,2026-02-14T06:29:42.945893
100240,Sebright School,http://www.sebright.hackney.sch.uk,admin@sebright.hackney.sch.uk,0,0,0,good,E2 8QH,London,London,2026-02-14T06:29:48.737609
100241,Shacklewell Primary School,https://www.shacklewell.hackney.sch.uk/,swoffice@newwavefederation.co.uk,0,0,0,,E8 2EA,London,London,2026-02-14T06:29:55.729776
100243,Thomas Fairchild Community School,http://www.thomasfairchild.hackney.sch.uk/,"tfoffice@newwavefederation.co.uk, tfoffice@newwavefederation.co.uk",0,0,0,,N1 7HA,London,London,2026-02-14T06:30:08.153877
100244,Oldhill Community School,http://www.oldhill.hackney.sch.uk/,,0,0,0,,N16 6LR,London,London,2026-02-14T06:30:10.500267
100245,Shoreditch Park Primary School,https://www.shoreditchpark.hackney.sch.uk,,0,0,0,,N1 5JN,London,London,2026-02-14T06:30:18.346316
100248,Woodberry Down Community Primary School,https://www.woodberrydown.hackney.sch.uk/,wdoffice@newwavefederation.co.uk,0,0,0,,N4 1SY,London,London,2026-02-14T06:30:23.865709
100250,Kingsmead Primary School,http://www.kingsmead.hackney.sch.uk/,admin@kingsmead.hackney.sch.uk,1,0,1,outstanding,E9 5PP,London,London,2026-02-14T06:30:30.353409
100252,Grasmere Primary School,https://www.grasmere.hackney.sch.uk,"info@grasmere.hackney.sch.uk, info@grasmere.hackney.sch.uk",0,0,0,,N16 9PD,London,London,2026-02-14T06:30:39.681615
100253,Jubilee Primary School,http://www.jubilee.hackney.sch.uk/,admin@jubilee.hackney.sch.uk,1,1,1,,N16 6NR,London,London,2026-02-14T06:30:46.710953
100254,Nightingale Primary School,https://www.nightingale.hackney.sch.uk/,eibrahim@nightingale.hackney.sch.uk,0,0,0,,E5 8NA,London,London,2026-02-14T06:30:54.595262
100256,Harrington Hill Primary School,https://www.harringtonhill.hackney.sch.uk/,admin@harringtonhill.hackney.sch.uk,1,1,1,,E5 9JG,London,London,2026-02-14T06:31:01.346731
100257,Holmleigh Primary School,https://www.holmleigh.hackney.sch.uk/,admin@holmleigh.hackney.sch.uk,0,0,0,,N16 5PU,London,London,2026-02-14T06:31:07.086503
100258,Grazebrook Primary School,https://www.grazebrook.hackney.sch.uk/,"gboffice@newwavefederation.co.uk, gboffice@newwavefederation.co.uk",0,0,0,outstanding,N16 0QP,London,London,2026-02-14T06:31:13.932991
100259,Parkwood Primary School,https://www.parkwood.hackney.sch.uk/,admin@parkwood.hackney.sch.uk,0,0,0,good,N4 2HQ,LONDON,London,2026-02-14T06:31:19.030315
100260,Benthal Primary School,https://www.benthal.hackney.sch.uk/,"office@benthal.hackney.sch.uk, office@benthal.hackney.sch.uk",0,0,0,,N16 7AU,London,London,2026-02-14T06:31:25.105532
100261,Mandeville Primary School,https://www.mandeville.hackney.sch.uk,mdvoffice@mandeville.hackney.sch.uk,0,1,0,outstanding,E5 0BT,London,London,2026-02-14T06:31:30.506983
100263,Holy Trinity Church of England Primary School,https://www.holytrinity.hackney.sch.uk,admin@holytrinity.hackney.sch.uk,1,1,1,,E8 3DY,London,London,2026-02-14T06:31:40.418327
100264,Our Lady and St Joseph Catholic Primary School,http://www.olsjschool.net/,admin@olsj.hackney.sch.uk,0,0,0,outstanding,N1 4JB,London,London,2026-02-14T06:31:46.897616
100266,St John the Baptist Voluntary Aided Church of England Primary School,https://www.st-john.hackney.sch.uk,"office@st-john.hackney.sch.uk, MASH@hackney.gov.uk",1,1,1,outstanding,N1 6JG,London,London,2026-02-14T06:31:58.024124
100269,St. Paul's With St. Michael's CofE Primary School,https://www.spsm.hackney.sch.uk/,admin@spsm.hackney.sch.uk,0,0,1,outstanding,E8 4PB,Hackney,London,2026-02-14T06:32:04.261554
100270,St John of Jerusalem Church of England Primary School,https://www.st-johnjerusalem.hackney.sch.uk/,"admin@st-johnjerusalem.hackney.sch.uk, admin@st-johnjerusalem.hackney.sch.uk, admin@st-johnofjerusalem.hackney.sch.uk, admin@st-johnofjerusalem.hackney.sch.uk, admin@st-johnofjerusalem.hackney.sch.uk",0,0,0,good,E9 7JF,London,London,2026-02-14T06:32:12.071829
100274,St Scholastica's Catholic Primary School,https://www.st-scholasticas.com,officeadmin@st-scholasticas.hackney.sch.uk,0,0,0,,E5 8BS,London,London,2026-02-14T06:32:22.593086
100275,Simon Marks Jewish Primary School,https://www.simonmarks.hackney.sch.uk/,,0,1,0,,N16 6PD,London,London,2026-02-14T06:32:29.230271
100279,Stoke Newington School and Sixth Form,http://www.sns.hackney.sch.uk/,admin@sns.hackney.sch.uk,0,0,0,,N16 9EX,London,London,2026-02-14T06:32:35.109693
100282,All Saints Catholic High School,https://www.allsaintschs.co.uk,,0,0,0,outstanding,N16 5AF,London,London,2026-02-14T06:32:42.025097
100284,The Urswick School - A Church of England Secondary School,https://www.theurswickschool.co.uk,,0,0,1,,E9 6NR,London,London,2026-02-14T06:32:48.320611
100307,Stormont House School,http://www.stormonthouse.hackney.sch.uk/,info@stormonthouse.hackney.sch.uk,1,1,1,good,E5 8NP,London,London,2026-02-14T06:32:54.653402
100311,The Garden School,http://www.the-garden.org.uk/,,1,0,0,,N16 8BZ,London,London,2026-02-14T06:33:00.643967
100315,Randolph Beresford Early Years Centre,https://www.randolphberesfordeyc.org.uk,"reception@randolphberesford.lbhf.sch.uk, reception@randolphberesford.lbhf.sch.uk, reception@randolphberesford.lbhf.sch.uk",0,1,1,,W12 7PH,London,London,2026-02-14T06:33:41.306546
100316,Vanessa Nursery School,https://www.vanessanurseryschool.org.uk,"admin@vanessa.lbhf.sch.uk, admin@vanessa.lbhf.sch.uk, admin@vanessa.lbhf.sch.uk",0,1,1,,W12 9JA,London,London,2026-02-14T06:33:47.795959
100317,James Lee Nursery School,https://www.jameslee.lbhf.sch.uk,"admin@jameslee.lbhf.sch.uk, senco@jameslee.lbhf.sch.uk",0,0,1,outstanding,W14 9BH,London,London,2026-02-14T06:33:54.092467
100318,Bayonne Nursery School,https://www.bayonne.lbhf.sch.uk,"admin@bayonne.lbhf.sch.uk, senco@bayonne.lbhf.sch.uk",0,0,1,outstanding,W6 8PF,London,London,2026-02-14T06:34:00.926251
100321,Addison Primary School,https://www.addisonprimary.org/,,0,0,0,,W14 0DT,London,London,2026-02-14T06:34:07.225656
100322,Avonmore Primary School,https://www.avonmoreprimary.co.uk,office@avonmoreprimary.co.uk,0,0,0,outstanding,W14 8SH,London,London,2026-02-14T06:34:12.745240
100324,Brackenbury Primary School,https://www.brackenbury.lbhf.sch.uk,admin@brackenbury.lbhf.sch.uk,0,0,0,,W6 0BA,London,London,2026-02-14T06:34:19.819430
100326,Miles Coverdale Primary School,https://www.milescoverdaleprimary.co.uk/,,0,1,1,,W12 8JJ,London,London,2026-02-14T06:34:25.479950
100328,Flora Gardens Primary School,https://www.floragardens.lbhf.sch.uk,office@fgschool.uk,0,0,0,,W6 7PZ,London,London,2026-02-14T06:34:32.463240
100331,Kenmont Primary School,https://www.kenmont.lbhf.sch.uk,admin@kenmont.lbhf.sch.uk,0,0,0,good,NW10 6AL,London,London,2026-02-14T06:34:38.174301
100334,Melcombe Primary School,https://www.melcombe.lbhf.sch.uk,"mrickard@melcombe.lbhf.sch.uk, admin@melcombe.lbhf.sch.uk, ahegazey@melcombe.lbhf.sch.uk",0,0,1,,W6 9ER,London,London,2026-02-14T06:34:43.651082
100335,Old Oak Primary School,https://www.oldoakprimary.co.uk/,,0,0,0,outstanding,W12 0AS,London,London,2026-02-14T06:34:49.910502
100338,Sir John Lillie Primary School,https://www.sirjohnlillieprimary.co.uk/,,0,0,0,,SW6 7LN,Fulham,London,2026-02-14T06:34:55.871423
100340,Wendell Park Primary School,https://www.wendellpark.lbhf.sch.uk,admin@wendellpark.lbhf.sch.uk,0,0,0,,W12 9LB,London,London,2026-02-14T06:35:02.575041
100341,Wormholt Park Primary School,http://www.wormholtparkprimary.co.uk/,"info@wormholtparkprimary.co.uk, senco@wormholtparkprimary.co.uk",0,0,0,,W12 0SR,London,London,2026-02-14T06:35:09.367085
100344,All Saints CofE Primary School,https://www.allsaintsce.lbhf.sch.uk,admin@allsaintsce.lbhf.sch.uk,0,0,0,outstanding,SW6 6ED,London,London,2026-02-14T06:35:16.527725
100345,Holy Cross RC School,http://www.holycrossfulham.org.uk/,,0,1,0,,SW6 4BL,London,London,2026-02-14T06:35:23.089067
100346,John Betts Primary School,https://www.johnbetts.lbhf.sch.uk,admin@johnbetts.lbhf.sch.uk,1,0,0,,W6 0UA,London,London,2026-02-14T06:35:29.703280
100349,St John's Walham Green Church of England Primary School,https://www.stjohnsce.lbhf.sch.uk,admin@stjohnsce.lbhf.sch.uk,0,0,0,,SW6 6AS,London,London,2026-02-14T06:35:35.773241
100350,St Mary's Catholic Primary School,https://www.stmarysrc.lbhf.sch.uk,,0,0,0,,W14 0LT,London,London,2026-02-14T06:35:41.654803
