university,email,phone_raw,contact_url,status,lat,lng,display_name
"Birkbeck, University of London",press@bbk.ac.uk,+44 (0)20 7631 6244,https://www.bbk.ac.uk/about-us/contact-us/press-office,valid,51.5218449,-0.1302155,"Birkbeck College, Malet Street, Bloomsbury, London Borough of Camden, Greater London, England, WC1E 7HX, United Kingdom"
University of Bedfordshire,media@beds.ac.uk,+44 1582 743535,https://www.beds.ac.uk/about-us/media-and-press/,valid,51.8777325,-0.4100517,"University of Bedfordshire, St Mary's Church Lane, Park Town, Luton, England, LU1 3JU, United Kingdom"
BIMM University,press@bimm.ac.uk,+44 1273 746 500,https://www.bimm.ac.uk/contact/,valid,52.4765633,-1.8842888,"BIMM University Birmingham, Little Ann Street, Rea Valley, Digbeth, Highgate, Birmingham, West Midlands, England, B5 5QF, United Kingdom"
University of Birmingham,press.office@bham.ac.uk,+44 (0)121 414 3344,https://www.birmingham.ac.uk/contact/press-office.aspx,valid,52.4522956,-1.9312857,"The Teaching and Learning Building, Edgbaston Park Road, Selly Park, Metchley, Birmingham, West Midlands, England, B15 2TT, United Kingdom"
Birmingham City University,press.office@bcu.ac.uk,+44 121 331 5000,https://www.bcu.ac.uk/about-us/news/contacts,valid,52.4822706,-1.8888148,"BCU International College, 15, Bartholomew Row, Bordesley, Park Central, Birmingham, West Midlands, England, B5 5JU, United Kingdom"
Birmingham Newman University,press@newman.ac.uk,+44 121 476 1189,https://www.newman.ac.uk/contact-us/press-and-media-enquiries/,valid,,,
University College Birmingham,press.office@ucb.ac.uk,+44 121 440 8765,https://www.ucb.ac.uk/about-us/contact-us/,valid,52.4824256,-1.9043003,"University College Birmingham, 84, Newhall Street, Ladywood, Park Central, Birmingham, West Midlands, England, B3 1LH, United Kingdom"
Bishop Grosseteste University,press.office@bishopg.ac.uk,+44 1522 876000,https://www.bishopg.ac.uk/about-us/contact-us/,valid,53.2448675,-0.5370031,"Bishop Grosseteste University, Longdales Road, Ermine, Lincoln, Lincolnshire, Greater Lincolnshire, England, LN2 2JT, United Kingdom"
Arts University Bournemouth,press@aub.ac.uk,+44 (0)1202 363235,https://aub.ac.uk/about-us/media-contacts,valid,50.7412708,-1.8980130,"Arts University Bournemouth, Fern Barrow, Alder Hills, Poole, Bournemouth, Christchurch and Poole, England, BH12 5EG, United Kingdom"
Bournemouth University,press@bournemouth.ac.uk,+44 1202 961916,https://www.bournemouth.ac.uk/about/our-people/marketing-communicationsBPP University,needs_review,50.7251543,-1.8648659,"Bournemouth University (Lansdowne Campus), Oxford Road, Lansdowne, Springbourne, Bournemouth, Bournemouth, Christchurch and Poole, England, BH8 8EY, United Kingdom"
University of Bradford,media@bradford.ac.uk,+44 1274 236272,https://www.bradford.ac.uk/news/press-office/,valid,53.7916522,-1.7661184,"University of Bradford, Richmond Road, Little Horton Green, Lister Hills, Bradford, West Yorkshire, England, BD7 1DL, United Kingdom"
University of Brighton,press.office@brighton.ac.uk,+44 (0)1273 641871,https://www.brighton.ac.uk/about-us/contact-us/index.aspx,valid,50.8278078,-0.1341983,"Saint Peter's House Library, 16-18, Richmond Place, Round Hill, Brighton, Brighton and Hove, England, BN2 9NA, United Kingdom"
University of Bristol,press.office@bristol.ac.uk,+44 (0)117 928 8921,https://www.bristol.ac.uk/news/contact/,valid,51.4905582,-2.6304825,"University of Bristol, Barrow Gurney, North Somerset, England, BS9 3RZ, United Kingdom"
Brunel University London,press.office@brunel.ac.uk,+44 1895 274000,https://www.brunel.ac.uk/about/contact/Press-office,valid,51.5326092,-0.4740499,"Brunel University of London, Kingston Lane, Hillingdon, London Borough of Hillingdon, Greater London, England, UB8 3PH, United Kingdom"
University of Buckingham,press@buckingham.ac.uk,+44 1280 827300,https://www.buckingham.ac.uk/contact-us/press-office/,valid,51.9956161,-0.9913407,"University of Buckingham, Bone Hill, Mount Pleasant, Buckingham, Buckinghamshire, England, MK18 1DP, United Kingdom"
Buckinghamshire New University,press.office@bucks.ac.uk,+44 1494 601600,https://bucks.ac.uk/about-us/media-and-prs,valid,51.6278220,-0.7534360,"Buckinghamshire New University (Wycombe Campus), Queen Alexandra Road, Daws Hill, High Wycombe Community Board, High Wycombe, Buckinghamshire, England, HP11 2JZ, United Kingdom"
University of the Built Environment,press@ube.ac.uk,+44 20 7946 0857,https://www.ube.ac.uk/contact/communications,valid,,,
University of Cambridge,pressoffice@admin.cam.ac.uk,+44 (0)1223 337733,https://www.cam.ac.uk/contact-us/press-office,valid,52.2109456,0.0920050,"University of Cambridge, 15, J J Thomson Avenue, Eddington, Cambridge, Cambridgeshire, Cambridgeshire and Peterborough, England, CB3 0FD, United Kingdom"
Canterbury Christ Church University,press.office@canterbury.ac.uk,+44 1227 769313,https://www.canterbury.ac.uk/about-us/media-centre/contacts-and-enquiries,valid,51.2791824,1.0903628,"Canterbury Christ Church University, Hollingbourne, Maidstone, Kent, England, CT1 1QT, United Kingdom"
Cardiff Metropolitan University,press@cardiffmet.ac.uk,+44 29 2041 6500,https://www.cardiffmet.ac.uk/contact/Pages/Press-and-Media.aspx,valid,51.4960900,-3.2128353,"Cardiff Metropolitan University, Llandaff Campus, Western Avenue, Llandaff, Cardiff, Cymru / Wales, CF5 2YX, United Kingdom"
Cardiff University,press@cardiff.ac.uk,+44 29 2087 6454,https://www.cardiff.ac.uk/contact-us/press-office,valid,51.4887426,-3.1795999,"Cardiff University, Park Place, Civic Centre, Castle, Cardiff, Cymru / Wales, CF10 3AT, United Kingdom"
University of Chester,press.office@chester.ac.uk,+44 1244 513 118,https://www.chester.ac.uk/about-us/media-office,valid,53.2002643,-2.8993189,"University of Chester, Parkgate Road, Northgate Village, City of Chester, Chester, Cheshire West and Chester, England, CH1 4BJ, United Kingdom"
University of Chichester,press.office@chi.ac.uk,+44 1243 816000,https://www.chi.ac.uk/about-us/contact-us/press-office,valid,50.8449436,-0.7740064,"University of Chichester, College Lane, East Broyle, Chichester, West Sussex, England, PO19 6PE, United Kingdom"
"St George's, University of London",press@sgul.ac.uk,+44 (0)20 8725 5538,https://www.sgul.ac.uk/about/press-office,valid,51.5276574,-0.1036050,"City St George’s, University of London, Lloyds Row, Spa Green, Angel, Clerkenwell, London Borough of Islington, Greater London, England, EC1R 1YJ, United Kingdom"
Coventry University,press.office@coventry.ac.uk,+44 (0)24 7765 7682,https://www.coventry.ac.uk/about-coventry-university/contact-us/press-office/,valid,52.4056372,-1.4997223,"Coventry University, Gosford Street, Lower Stoke, Coventry, West Midlands, England, CV1 5DH, United Kingdom"
Cranfield University,press.office@cranfield.ac.uk,+44 (0)1234 754068,https://www.cranfield.ac.uk/about/our-people/press-office,valid,52.0701329,-0.6287023,"Cranfield University, College Road, Cranfield, Central Bedfordshire, England, MK43 0AL, United Kingdom"
University for the Creative Arts,press.office@uca.ac.uk,+44 1903 325111,https://www.uca.ac.uk/about/contact/communications-office/,valid,51.2162565,-0.8060642,"University for the Creative Arts, Farnham Campus, Falkner Road, Mount Pleasant, Farnham, Waverley, Surrey, England, GU9 7DS, United Kingdom"
University of Cumbria,press.office@cumbria.ac.uk,+44 1524 384238,https://www.cumbria.ac.uk/contact-us/press-office/,valid,54.8908157,-2.9223991,"University of Cumbria, Fusehill Street, Currock, Carlisle, Cumberland, England, CA1 2HD, United Kingdom"
De Montfort University,mediaoffice@dmu.ac.uk,+44 116 250 6631,https://www.dmu.ac.uk/about-dmu/contact-us/media-office.aspxUniversity of Derby,needs_review,52.6297131,-1.1392840,"De Montfort University, Havelock Street, Bede Island, Leicester, City of Leicester, England, LE2 7HA, United Kingdom"
University of Dundee,press.office@dundee.ac.uk,+44 1382 384422,https://www.dundee.ac.uk/contact/press-office,valid,56.4579676,-2.9821483,"University of Dundee, Nethergate, Seabraes, City Centre, Dundee, Dundee City, Alba / Scotland, DD1 4HN, United Kingdom"
Durham University,press.office@durham.ac.uk,+44 (0)191 334 2978,https://www.dur.ac.uk/press.office/contact/,valid,54.7641282,-1.5863066,"Durham Business School, Mill Hill Lane, Merryoaks, City of Durham, Durham, County Durham, North East, England, DH1 3LB, United Kingdom"
University of East Anglia,media@uea.ac.uk,+44 1603 593906,https://www.uea.ac.uk/about/media-and-press-office,valid,52.6210623,1.2356187,"University of East Anglia, Bluebell Road, Earlham Rise, Norwich, Norfolk, England, NR4 7LQ, United Kingdom"
University of East London,press@uel.ac.uk,+44 20 8223 4442,https://www.uel.ac.uk/about-uel/contact-us/press-office,valid,51.5073682,0.0656624,"University of East London, Clegg Street, Plaistow, London Borough of Newham, Greater London, England, E13 9BD, United Kingdom"
Edge Hill University,press@edgehill.ac.uk,+44 1695 584286,https://www.edgehill.ac.uk/communications/contact-us/,valid,53.5581225,-2.8687914,"Edge Hill University, St Helens Road, Scarth Hill, Ormskirk, West Lancashire, Lancashire, England, L39 4QP, United Kingdom"
University of Edinburgh,media.relations@ed.ac.uk,+44 131 650 2239,https://www.ed.ac.uk/news/communications-team,valid,55.9440765,-3.1883736,"University of Edinburgh, Teviot Place, Quartermile, Tollcross, City of Edinburgh, Alba / Scotland, EH1 2QP, United Kingdom"
Edinburgh Napier University,press@napier.ac.uk,+44 131 455 4467,https://www.napier.ac.uk/about-us/news-and-events/media-enquiries,valid,55.9311064,-3.2093902,"Chalmers Church, 69B, Morningside Road, Church Hill, Morningside, City of Edinburgh, Alba / Scotland, EH10 4BX, United Kingdom"
University of Essex,press.office@essex.ac.uk,+44 1206 873334,https://www.essex.ac.uk/about/media-contacts,valid,51.8773639,0.9498751,"University of Essex, Rowhedge River Trail, Old Heath, Colchester, Essex, England, CO4 3ZF, United Kingdom"
University of Exeter,press.office@exeter.ac.uk,+44 1392 725500,https://www.exeter.ac.uk/media/universityofexeter/communications/Contact_the_Press_Office_-_September_2022.pdf,valid,50.1701604,-5.1241802,"University of Exeter, Quethiock, Cornwall, England, TR10 9EZ, United Kingdom"
Falmouth University,press@falmouth.ac.uk,+44 1326 370 460,https://www.falmouth.ac.uk/contact-us,valid,50.1489643,-5.0704472,"Falmouth University, Fenwick Road, Falmouth, Cornwall, England, TR11 4DR, United Kingdom"
University of Glasgow,media-office@glasgow.ac.uk,+44 141 330 5160,https://www.gla.ac.uk/myglasgow/news/contacts/communications/,valid,55.8727036,-4.2919966,"University of Glasgow (West) Station (8422), University Place, Hillhead, Glasgow, Glasgow City, Alba / Scotland, G12 8SU, United Kingdom"
Glasgow Caledonian University,media.office@gcu.ac.uk,+44 141 331 8131,https://www.gcu.ac.uk/aboutgcu/contactus/pressandmedia/,valid,55.8674664,-4.2502454,"Glasgow Caledonian University, Milton Street, Pinkston, Cowcaddens, Glasgow, Glasgow City, Alba / Scotland, G4 0HT, United Kingdom"
University of Gloucestershire,press@glos.ac.uk,+44 1242 715180,https://www.glos.ac.uk/about-us/contact-us/communications-team/,valid,51.8731804,-2.2239706,"University of Gloucestershire - Oxtalls Campus, Estcourt Road, Wotton Pitch, Gloucester, Gloucestershire, England, GL1 3LX, United Kingdom"
"Goldsmiths, University of London",press@gold.ac.uk,+44 (0)20 7919 7111,https://www.gold.ac.uk/about/contact-us/communications/,valid,51.4736302,-0.0372464,"Goldsmiths, University of London Campus, New Cross Road, New Cross, London Borough of Lewisham, Greater London, England, SE14 6NW, United Kingdom"
University of Greater Manchester,mediarelations@manchester.ac.uk,+44 (0)161 306 0500,https://www.manchester.ac.uk/discover/contact/media-relations/,valid,53.5735316,-2.4371736,"University of Greater Manchester, Derby Street, Gilnow, Great Lever, Farnworth, Bolton, Greater Manchester, England, BL3 6HE, United Kingdom"
University of Greenwich,press@gre.ac.uk,+44 20 8331 8000,https://www.gre.ac.uk/about/our-people/staff-directory/communications,valid,51.4825423,-0.0066531,"University of Greenwich, Park Row, Greenwich Town Centre, East Greenwich, Royal Borough of Greenwich, Greater London, England, SE10 9LS, United Kingdom"
Harper Adams University,press.office@harper-adams.ac.uk,+44 (0) 1952 815 224,https://www.harper-adams.ac.uk/contact-us.aspx,valid,52.7802598,-2.4322512,"Harper Adams University, B5062, New Inn Farm, Edgmond, Telford and Wrekin, England, TF10 8EL, United Kingdom"
Hartpury University,press@hartpury.ac.uk,+44 1452 702000,https://www.hartpury.ac.uk/contact-us/,valid,,,
Health Sciences University (UK),press@healthsciencesuni.ac.uk,+44 20 7946 0123,https://www.healthsciencesuni.ac.uk/contact/communicationsHeriot-Watt University,needs_review,,,
University of Hertfordshire,press.office@herts.ac.uk,+44 (0)1707 284228,https://www.herts.ac.uk/about-us/news/press-office,valid,51.7517443,-0.2390498,"University of Hertfordshire, College Lane Campus, Roehyde Way, Hilltop, Nast Hyde, Hatfield, Welwyn Hatfield, Hertfordshire, England, AL4 0PJ, United Kingdom"
University of the Highlands and Islands,communications@uhi.ac.uk,+44 1463 279000,https://www.uhi.ac.uk/en/media-centre/press-office/,valid,,,
University of Huddersfield,press@hud.ac.uk,+44 1484 472222,https://www.hud.ac.uk/contact-us/press-office/,valid,53.6429919,-1.7780783,"Huddersfield University, Queensgate, Folly Hall, Aspley, Huddersfield, Kirklees, West Yorkshire, England, HD1 3DH, United Kingdom"
University of Hull,press.office@hull.ac.uk,+44 1482 466244,https://www.hull.ac.uk/work-with-us/media-centre/press-office,valid,53.7732507,-0.3670415,"University of Hull, Newland Park, Newland, Hull, Kingston upon Hull, Hull and East Yorkshire, England, HU5 2DW, United Kingdom"
Imperial College London,communications@imperial.ac.uk,+44 (0)20 7589 5111,https://www.imperial.ac.uk/news/feedback-and-contact/contacts/communications-office/,valid,51.4989595,-0.1756407,"Imperial College London, Exhibition Road, Brompton, City of Westminster, Greater London, England, SW7 2AZ, United Kingdom"
Keele University,press@keele.ac.uk,+44 1782 733333,https://www.keele.ac.uk/contact/pressoffice/,valid,53.0016756,-2.2706942,"Keele University, Keele Road, Keele, Newcastle-under-Lyme, Staffordshire, England, ST5 5BG, United Kingdom"
University of Kent,press@kent.ac.uk,+44 1227 824242,https://www.kent.ac.uk/media/contact-us/press-office.html,valid,51.2950874,1.0673313,"University of Kent, University Road, St. Dunstan's, Harbledown, Canterbury, Kent, England, CT2 7LZ, United Kingdom"
King's College London,pressoffice@kcl.ac.uk,+44 (0)20 7848 4721,https://www.kcl.ac.uk/news/contact-us,valid,51.5030855,-0.0900021,"Hodgkin Building, Newcomen Street, Borough Market, Bermondsey Village, The Borough, London Borough of Southwark, Greater London, England, SE1 1YX, United Kingdom"
Kingston University,media.office@kingston.ac.uk,+44 20 8417 9000,https://www.kingston.ac.uk/aboutkingstonuniversity/media-centre/press-office/,valid,51.4030739,-0.3032181,"Kingston University Penrhyn Road Campus, Penrhyn Road, Surbiton, Royal Borough of Kingston upon Thames, Greater London, England, KT1 2EE, United Kingdom"
University of Lancashire,press@uclan.ac.uk,+44 1772 893292,https://www.uclan.ac.uk/about-us/contact-us.php,valid,53.7643905,-2.7086535,"University of Lancashire, Heatley Street, Adelphi, Avenham, Preston, Lancashire, England, PR1 2XR, United Kingdom"
Lancaster University,press@lancaster.ac.uk,+44 (0)1524 594944,https://www.lancaster.ac.uk/media/lancaster-university/content-assets/documents/public-information/press-office.pdf,valid,54.0098429,-2.7875768,"Lancaster University, Chapel Lane, Ellel, Galgate, Lancaster, Lancashire, England, LA2 0PN, United Kingdom"
University of Law,press.office@law.ac.uk,+44 121 362 7600,https://www.law.ac.uk/contact-us/,valid,53.4803158,-2.2393912,"University of Law, 2, New York Street, Central Retail District, Petersfield, City Centre, Manchester, Greater Manchester, England, M1 4HJ, United Kingdom"
University of Leeds,press.office@leeds.ac.uk,+44 (0)113 343 4761,https://www.leeds.ac.uk/site/scripts/contact_info.php?contactID=6,valid,53.8057925,-1.5551110,"University of Leeds, Kelso Road, Little Woodhouse, Hyde Park, Leeds, West Yorkshire, England, LS2 9PR, United Kingdom"
Leeds Arts University,press@leeds-art.ac.uk,+44 113 202 3030,https://www.leeds-art.ac.uk/contact-us/,valid,53.8088049,-1.5511543,"Leeds Arts University, Blenheim Walk, Bagby Fields, Woodhouse, Leeds, West Yorkshire, England, LS2 9AQ, United Kingdom"
Leeds Beckett University,press.office@leedsbeckett.ac.uk,+44 113 812 1907,https://www.leedsbeckett.ac.uk/contact-us/press-office/,valid,53.8261442,-1.5933537,"Leeds Beckett University, Walter Street, Kirkstall Industrial Park, Burley, Leeds, West Yorkshire, England, LS4 2AZ, United Kingdom"
Leeds Trinity University,press.office@leedstrinity.ac.uk,+44 113 283 7000,https://www.leedstrinity.ac.uk/about-us/contact-us/,valid,53.8481537,-1.6450165,"Leeds Trinity University, Brownberrie Lane, Beechwood, Leeds, West Yorkshire, England, LS18 5HD, United Kingdom"
University of Leicester,press@le.ac.uk,+44 116 252 2551,https://le.ac.uk/news/contact-us,valid,52.6087006,-1.1148240,"University of Leicester, Balmoral Close, Knighton, Leicester, City of Leicester, England, LE2 3PZ, United Kingdom"
University of Lincoln,press@lincoln.ac.uk,+44 1522 886097,https://www.lincoln.ac.uk/home/contactus/press/,valid,53.2263804,-0.5461286,"University of Lincoln (Rope Walk), Ropewalk, New Boultham, Lincoln, Lincolnshire, Greater Lincolnshire, England, LN6 7TP, United Kingdom"
University of Liverpool,press.office@liverpool.ac.uk,+44 (0)151 794 3554,https://www.liverpool.ac.uk/communications/about-us/contact-us/Liverpool Hope University,needs_review,53.4072429,-2.9658337,"University of Liverpool, Pembroke Place, Knowledge Quarter, Edge Hill, Liverpool, Liverpool City Region, England, L69 3GE, United Kingdom"
Liverpool John Moores University,media@ljmu.ac.uk,+44 151 231 2222,https://www.ljmu.ac.uk/about-us/media-and-insight/media-office,valid,53.4037508,-2.9726752,"Liverpool John Moores University Mount Pleasant Campus, 80-98, Mount Pleasant, Knowledge Quarter, Edge Hill, Liverpool, Liverpool City Region, England, L3 5UZ, United Kingdom"
London Business School,media@london.edu,+44 (0)20 7000 7000,https://www.london.edu/about/press-office,valid,51.5263869,-0.1611522,"London Business School, Taunton Place, Marylebone, City of Westminster, Greater London, England, NW1 6BP, United Kingdom"
London Metropolitan University,press@londonmet.ac.uk,+44 20 7133 4741,https://www.londonmet.ac.uk/about/contact-us/communications-team/,valid,51.5173823,-0.0883496,"London Metropolitan University, 74, London Wall, Moorgate, City of London, Greater London, England, EC2M 5TB, United Kingdom"
London School of Economics,media@lse.ac.uk,+44 (0)20 7107 5306,https://www.lse.ac.uk/media-and-communications/Our-Services/Press-office,valid,51.5146063,-0.1164509,"London School of Economics and Political Science, Houghton Street, St Clement Danes, Covent Garden, City of Westminster, Greater London, England, WC2A 2AE, United Kingdom"
London School of Hygiene and Tropical Medicine,communications@lshtm.ac.uk,+44 (0)20 7927 2748,https://www.lshtm.ac.uk/aboutus/contact-us,valid,51.5209537,-0.1303714,"London School of Hygiene and Tropical Medicine, Gower Street, Bloomsbury, London Borough of Camden, Greater London, England, WC1E 7HT, United Kingdom"
London South Bank University,press@lsbu.ac.uk,+44 20 7815 7777,https://www.lsbu.ac.uk/about-us/news/press-office-contact,valid,51.4977032,-0.1018089,"London South Bank University, King James Street, Elephant and Castle, London Borough of Southwark, Greater London, England, SE1 0RZ, United Kingdom"
Loughborough University,media@lboro.ac.uk,+44 1509 223630,https://www.lboro.ac.uk/news-events/media/contacts/,valid,52.7638450,-1.2372582,"Loughborough University, Fairmount Drive, Thorpe Acre, Loughborough, Charnwood, Leicestershire, England, LE11 3JR, United Kingdom"
University of Manchester,press.office@manchester.ac.uk,+44 (0)161 306 3597,https://www.manchester.ac.uk/discover/contact-us/communications/,valid,53.4660226,-2.2330858,"University of Manchester, Oxford Road, Chorlton-on-Medlock, Manchester, Greater Manchester, England, M13 9PL, United Kingdom"
Manchester Metropolitan University,press.office@mmu.ac.uk,+44 161 247 1587,https://www.mmu.ac.uk/media-services/press-office,valid,53.4694788,-2.2379823,"Grosvenor West, Grosvenor Square, First Street, Hulme, Manchester, Greater Manchester, England, M15 6BH, United Kingdom"
Middlesex University,media@mdx.ac.uk,+44 20 8411 6000,https://www.mdx.ac.uk/about-us/our-structure/marketing-and-communications/press-office,valid,51.6591227,-0.1333415,"Middlesex University, Cockfosters, London Borough of Enfield, Greater London, England, United Kingdom"
Newcastle University,press.office@ncl.ac.uk,+44 191 208 8162,https://www.ncl.ac.uk/press/contact/,valid,54.9801751,-1.6146802,"Newcastle University, John Dobson Street, Haymarket, Newcastle upon Tyne, Tyne and Wear, North East, England, NE1 8AP, United Kingdom"
University of Northampton,press.office@northampton.ac.uk,+44 1604 893850,https://www.northampton.ac.uk/about-us/news/press-office/,valid,52.2312458,-0.8898806,"Subway, Nunn Mills Road, Northampton, West Northamptonshire, England, NN1 5PA, United Kingdom"
Northumbria University,press.office@northumbria.ac.uk,+44 191 227 4604,https://www.northumbria.ac.uk/about-us/news-events/media-office/,valid,54.9787691,-1.6096401,"Northumbria University, Sandyford Road, Haymarket, Newcastle upon Tyne, Tyne and Wear, North East, England, NE1 8PS, United Kingdom"
Norwich University of the Arts,press@nou.edu,+44 1603 610600,https://www.nua.ac.uk/about/contact-us/,valid,52.6306240,1.2950007,"Norwich University of the Arts (NUA), Saint Andrews Street, Heigham Grove, Norwich, Norfolk, England, NR2 4TP, United Kingdom"
University of Nottingham,press.office@nottingham.ac.uk,+44 115 951 5798,https://www.nottingham.ac.uk/news/pressoffice/index.aspx,valid,52.9387428,-1.2002957,"University of Nottingham, University Boulevard, Dunkirk, City of Nottingham, East Midlands, England, NG7 2RD, United Kingdom"
Nottingham Trent University,press.office@ntu.ac.uk,+44 115 848 4202,https://www.ntu.ac.uk/about-us/news/media-enquiries,valid,52.9116400,-1.1866048,"Nottingham Trent University (Clifton Campus), Sunninghill Drive, Clifton, City of Nottingham, East Midlands, England, NG11 8AZ, United Kingdom"
The Open University,press.office@open.ac.uk,+44 1908 653888,http://www.open.ac.uk/contact-us/press-office,valid,52.0245378,-0.7092748,"The Open University, Chaucer Grove, Kents Hill, Kents Hill, Monkston and Brinklow, Monkston, Milton Keynes, City of Milton Keynes, England, MK7 6FE, United Kingdom"
University of Oxford,pressoffice@admin.ox.ac.uk,+44 1865 280 830,https://www.ox.ac.uk/about/organisation/media-services,valid,51.7525461,-1.2143300,"Old Road Campus, University of Oxford, Roosevelt Drive, Headington, Oxford, Oxfordshire, England, OX3 7LH, United Kingdom"
Oxford Brookes University,media@brookes.ac.uk,+44 1865 741111,https://www.brookes.ac.uk/about-brookes/news/press-office/University of Plymouth,needs_review,51.7552230,-1.2301040,"Oxford Brookes University Headington Campus, Headington Road, Headington Hill, Headington, Oxford, Oxfordshire, England, OX3 0BL, United Kingdom"
Plymouth Marjon University,media@marjon.ac.uk,+44 1752 636901,https://www.marjon.ac.uk/about-marjon/university-information/marketing-and-communications/,valid,50.4204538,-4.1096464,"Plymouth Marjon University, Plymbridge Lane, Glenholt, Plymouth, England, PL6 8BH, United Kingdom"
University of Portsmouth,pressoffice@port.ac.uk,+44 23 9284 7304,https://www.port.ac.uk/about-us/news-and-events/media-enquiries,valid,50.7952450,-1.0935529,"University House, St Vincent Street, Somers Town, Portsmouth, England, PO1 2UP, United Kingdom"
Queen Margaret University,press@qmu.ac.uk,+44 131 474 0000,https://www.qmu.ac.uk/about-qmu/contact-us/,valid,55.9307191,-3.0736460,"Queen Margaret University, J,K, Stoneybank, Musselburgh, East Lothian, Alba / Scotland, EH21 6UD, United Kingdom"
Queen Mary University of London,press.office@qmul.ac.uk,+44 (0)20 7882 5555,https://www.qmul.ac.uk/media/contact-us/,valid,51.5247403,-0.0393136,"Queen Mary University of London, 327, Mile End Road, Stepney, London Borough of Tower Hamlets, Greater London, England, E1 4NS, United Kingdom"
Queen's University Belfast,press.office@qub.ac.uk,+44 28 9097 3034,https://www.qub.ac.uk/about/Media-Relations/,valid,54.5842881,-5.9336562,"Queen's University Belfast, University Road, Crescent, Linen Quarter, Queen's Quarter, Belfast, Belfast City District, County Antrim, Northern Ireland / Tuaisceart Éireann, BT7 1NZ, United Kingdom"
University of Reading,press@reading.ac.uk,+44 118 378 8400,https://www.reading.ac.uk/internal/staffportal/estates-services/communications/communications-team.aspx,valid,51.4404358,-0.9417618,"University of Reading - Whiteknights Campus, Chancellor's Way, Whitley, Reading, England, RG2 7BN, United Kingdom"
Regent's University London,press.office@regents.ac.uk,+44 (0)20 7487 7653,https://www.regents.ac.uk/about/media-office,valid,51.5204259,-0.1525651,"Regent's University London (Marylebone Site), 60, Paddington Street, East Marylebone, Marylebone, City of Westminster, Greater London, England, W1U 4DU, United Kingdom"
Robert Gordon University,press.office@rgu.ac.uk,+44 1224 263060,https://www.rgu.ac.uk/about/press-office,valid,57.1187601,-2.1393085,"Robert Gordon University, Riverside Path, Kaimhill, Garthdee, Aberdeen City, Alba / Scotland, AB10 7FY, United Kingdom"
University of Roehampton,media@roehampton.ac.uk,+44 (0)20 8392 3000,https://www.roehampton.ac.uk/about-us/media/,valid,51.4485315,-0.2440107,"Roehampton University, Rodway Road, Roehampton, London Borough of Wandsworth, Greater London, England, SW15 5DN, United Kingdom"
