university,email,phone_raw,phone_normalized,contact_url,status,issue_reason,last_checked_utc,territory_priority
Keele University,press@keele.ac.uk,+44 1782 733333,+441782733333,https://www.keele.ac.uk/contact/pressoffice/,valid,,,normal
University of Kent,press@kent.ac.uk,+44 1227 824242,+441227824242,https://www.kent.ac.uk/media/contact-us/press-office.html,valid,,,normal
King's College London,pressoffice@kcl.ac.uk,+44 (0)20 7848 4721,+4402078484721,https://www.kcl.ac.uk/news/contact-us,valid,,,normal
Kingston University,media.office@kingston.ac.uk,+44 20 8417 9000,+442084179000,https://www.kingston.ac.uk/aboutkingstonuniversity/media-centre/press-office/,valid,,,normal
University of Lancashire,press@uclan.ac.uk,+44 1772 893292,+441772893292,https://www.uclan.ac.uk/about-us/contact-us.php,valid,,,normal
Lancaster University,press@lancaster.ac.uk,+44 (0)1524 594944,+4401524594944,https://www.lancaster.ac.uk/media/lancaster-university/content-assets/documents/public-information/press-office.pdf,valid,,,normal
University of Law,press.office@law.ac.uk,+44 121 362 7600,+441213627600,https://www.law.ac.uk/contact-us/,valid,,,normal
University of Leeds,press.office@leeds.ac.uk,+44 (0)113 343 4761,+4401133434761,https://www.leeds.ac.uk/site/scripts/contact_info.php?contactID=6,valid,,,normal
Leeds Arts University,press@leeds-art.ac.uk,+44 113 202 3030,+441132023030,https://www.leeds-art.ac.uk/contact-us/,valid,,,normal
Leeds Beckett University,press.office@leedsbeckett.ac.uk,+44 113 812 1907,+441138121907,https://www.leedsbeckett.ac.uk/contact-us/press-office/,valid,,,normal
Leeds Trinity University,press.office@leedstrinity.ac.uk,+44 113 283 7000,+441132837000,https://www.leedstrinity.ac.uk/about-us/contact-us/,valid,,,normal
University of Leicester,press@le.ac.uk,+44 116 252 2551,+441162522551,https://le.ac.uk/news/contact-us,valid,,,normal
University of Lincoln,press@lincoln.ac.uk,+44 1522 886097,+441522886097,https://www.lincoln.ac.uk/home/contactus/press/,valid,,,normal
University of Liverpool,press.office@liverpool.ac.uk,+44 (0)151 794 3554,+4401517943554,https://www.liverpool.ac.uk/communications/about-us/contact-us/Liverpool Hope University,needs_review,merged_row_url_contamination,,normal
Liverpool John Moores University,media@ljmu.ac.uk,+44 151 231 2222,+441512312222,https://www.ljmu.ac.uk/about-us/media-and-insight/media-office,valid,,,normal
London Business School,media@london.edu,+44 (0)20 7000 7000,+4402070007000,https://www.london.edu/about/press-office,valid,,,normal
London Metropolitan University,press@londonmet.ac.uk,+44 20 7133 4741,+442071334741,https://www.londonmet.ac.uk/about/contact-us/communications-team/,valid,,,normal
London School of Economics,media@lse.ac.uk,+44 (0)20 7107 5306,+4402071075306,https://www.lse.ac.uk/media-and-communications/Our-Services/Press-office,valid,,,normal
London School of Hygiene and Tropical Medicine,communications@lshtm.ac.uk,+44 (0)20 7927 2748,+4402079272748,https://www.lshtm.ac.uk/aboutus/contact-us,valid,,,normal
London South Bank University,press@lsbu.ac.uk,+44 20 7815 7777,+442078157777,https://www.lsbu.ac.uk/about-us/news/press-office-contact,valid,,,normal
Loughborough University,media@lboro.ac.uk,+44 1509 223630,+441509223630,https://www.lboro.ac.uk/news-events/media/contacts/,valid,,,normal
University of Manchester,press.office@manchester.ac.uk,+44 (0)161 306 3597,+4401613063597,https://www.manchester.ac.uk/discover/contact-us/communications/,valid,,,normal
Manchester Metropolitan University,press.office@mmu.ac.uk,+44 161 247 1587,+441612471587,https://www.mmu.ac.uk/media-services/press-office,valid,,,normal
Middlesex University,media@mdx.ac.uk,+44 20 8411 6000,+442084116000,https://www.mdx.ac.uk/about-us/our-structure/marketing-and-communications/press-office,valid,,,normal
Newcastle University,press.office@ncl.ac.uk,+44 191 208 8162,+441912088162,https://www.ncl.ac.uk/press/contact/,valid,,,normal
University of Northampton,press.office@northampton.ac.uk,+44 1604 893850,+441604893850,https://www.northampton.ac.uk/about-us/news/press-office/,valid,,,normal
Northumbria University,press.office@northumbria.ac.uk,+44 191 227 4604,+441912274604,https://www.northumbria.ac.uk/about-us/news-events/media-office/,valid,,,normal
Norwich University of the Arts,press@nou.edu,+44 1603 610600,+441603610600,https://www.nua.ac.uk/about/contact-us/,valid,,,normal
University of Nottingham,press.office@nottingham.ac.uk,+44 115 951 5798,+441159515798,https://www.nottingham.ac.uk/news/pressoffice/index.aspx,valid,,,normal
Nottingham Trent University,press.office@ntu.ac.uk,+44 115 848 4202,+441158484202,https://www.ntu.ac.uk/about-us/news/media-enquiries,valid,,,normal
The Open University,press.office@open.ac.uk,+44 1908 653888,+441908653888,http://www.open.ac.uk/contact-us/press-office,valid,,,normal
University of Oxford,pressoffice@admin.ox.ac.uk,+44 1865 280 830,+441865280830,https://www.ox.ac.uk/about/organisation/media-services,valid,,,normal
Oxford Brookes University,media@brookes.ac.uk,+44 1865 741111,+441865741111,https://www.brookes.ac.uk/about-brookes/news/press-office/University of Plymouth,needs_review,merged_row_url_contamination,,normal
Plymouth Marjon University,media@marjon.ac.uk,+44 1752 636901,+441752636901,https://www.marjon.ac.uk/about-marjon/university-information/marketing-and-communications/,valid,,,normal
University of Portsmouth,pressoffice@port.ac.uk,+44 23 9284 7304,+442392847304,https://www.port.ac.uk/about-us/news-and-events/media-enquiries,valid,,,normal
Queen Margaret University,press@qmu.ac.uk,+44 131 474 0000,+441314740000,https://www.qmu.ac.uk/about-qmu/contact-us/,valid,,,normal
Queen Mary University of London,press.office@qmul.ac.uk,+44 (0)20 7882 5555,+4402078825555,https://www.qmul.ac.uk/media/contact-us/,valid,,,normal
Queen's University Belfast,press.office@qub.ac.uk,+44 28 9097 3034,+442890973034,https://www.qub.ac.uk/about/Media-Relations/,valid,,,normal
University of Reading,press@reading.ac.uk,+44 118 378 8400,+441183788400,https://www.reading.ac.uk/internal/staffportal/estates-services/communications/communications-team.aspx,valid,,,normal
Regent's University London,press.office@regents.ac.uk,+44 (0)20 7487 7653,+4402074877653,https://www.regents.ac.uk/about/media-office,valid,,,normal
Robert Gordon University,press.office@rgu.ac.uk,+44 1224 263060,+441224263060,https://www.rgu.ac.uk/about/press-office,valid,,,normal
University of Roehampton,media@roehampton.ac.uk,+44 (0)20 8392 3000,+4402083923000,https://www.roehampton.ac.uk/about-us/media/,valid,,,normal
Royal Agricultural University,communications@rau.ac.uk,+44 1249 712716,+441249712716,https://www.rau.ac.uk/about/contact-us,valid,,,normal
Royal Central School of Speech and Drama,press@cssd.ac.uk,+44 (0)20 7387 7300,+4402073877300,https://www.cssd.ac.uk/contact-us,valid,,,normal
Royal College of Art,press@rca.ac.uk,+44 (0)20 7307 5261,+4402073075261,https://www.rca.ac.uk/contact-us/,valid,,,normal
Royal College of Music,press@rcm.ac.uk,+44 (0)20 7591 4350,+4402075914350,https://www.rcm.ac.uk/about/contactus/,valid,,,normal
"Royal Holloway, University of London",communications@rhul.ac.uk,+44 (0)1784 443992,+4401784443992,https://www.royalholloway.ac.uk/about-us/contact-us/press-office/,valid,,,normal
Royal Northern College of Music,press@rncm.ac.uk,+44 (0)161 907 5282,+4401619075282,https://www.rncm.ac.uk/about/contact/,valid,,,normal
Royal Veterinary College,press.office@rvc.ac.uk,+44 (0)20 7831 2350,+4402078312350,https://www.rvc.ac.uk/about/contact-us,valid,,,normal
University of Salford,press.office@salford.ac.uk,+44 161 295 4518,+441612954518,https://www.salford.ac.uk/about-us/news/press-office-contact-details,valid,,,normal
University of Sheffield,pressoffice@sheffield.ac.uk,+44 (0)114 222 2000,+4401142222000,https://www.sheffield.ac.uk/news/press-office,valid,,,normal
Sheffield Hallam University,press@shu.ac.uk,+44 114 225 4444,+441142254444,https://www.shu.ac.uk/about-us/news/press-officeUniversity of South Wales,needs_review,merged_row_url_contamination,,normal
University of Southampton,press.office@soton.ac.uk,+44 (0)23 8059 5000,+4402380595000,https://www.southampton.ac.uk/news/contact-us.page,valid,,,normal
Southampton Solent University,press.office@solent.ac.uk,+44 23 8201 3000,+442382013000,https://www.solent.ac.uk/about/media-and-press,valid,,,normal
University of St Andrews,press.office@st-andrews.ac.uk,+44 (0)1334 462608,+4401334462608,https://www.st-andrews.ac.uk/news/communications/contacts/,valid,,,normal
"St Mary's University, Twickenham",press.office@stmarys.ac.uk,+44 20 8240 4040,+442082404040,https://www.stmarys.ac.uk/about/contact-us.aspx,valid,,,normal
Staffordshire University,media@staffs.ac.uk,+44 1782 294200,+441782294200,https://www.staffs.ac.uk/about/contact-us/media-office,valid,,,normal
University of Stirling,media@stir.ac.uk,+44 (0)1786 462562,+4401786462562,https://www.stir.ac.uk/about/public-information/media-office/,valid,,,normal
University of Strathclyde,press.office@strath.ac.uk,+44 (0)141 548 4488,+4401415484488,https://www.strath.ac.uk/about/communications/pressoffice/,valid,,,normal
University of Suffolk,media@uos.ac.uk,+44 (0)1473 338004,+4401473338004,https://www.uos.ac.uk/contact-us/communications-and-media,valid,,,normal
University of Sunderland,press.office@sunderland.ac.uk,+44 191 515 2910,+441915152910,https://www.sunderland.ac.uk/about/contact-us/press-office/,valid,,,normal
University of Surrey,media@surrey.ac.uk,+44 (0)1483 683053,+4401483683053,https://www.surrey.ac.uk/contact-us/media-office,valid,,,normal
University of Sussex,press@sussex.ac.uk,+44 (0)1273 678451,+4401273678451,https://www.sussex.ac.uk/about/contact-us/press-office,valid,,,normal
Swansea University,press.office@swansea.ac.uk,+44 1792 606120,+441792606120,https://www.swansea.ac.uk/communications/press-office/,valid,,,normal
Teesside University,press.office@tees.ac.uk,+44 1642 342000,+441642342000,https://www.tees.ac.uk/about/contact_us/press_office.cfm,valid,,,normal
University of the West of England,press.office@uwe.ac.uk,+44 117 32 82722,+441173282722,https://www.uwe.ac.uk/about/contact/press-office,valid,,,normal
University of the West of Scotland,press.office@uws.ac.uk,+44 141 848 3340,+441418483340,https://www.uws.ac.uk/contact/press-office/,valid,,,normal
University of Wales,communications@wales.ac.uk,+44 29 2047 0000,+442920470000,https://www.wales.ac.uk/en/AboutUs/ContactUs.aspx,valid,,,normal
University of Wales Trinity Saint David,press@uwtsd.ac.uk,+44 1792 481199,+441792481199,https://www.uwtsd.ac.uk/contact/press-office/,valid,,,normal
University of Warwick,media@warwick.ac.uk,+44 (0)24 7652 3555,+4402476523555,https://warwick.ac.uk/services/communications/press/,valid,,,normal
University of Westminster,press.office@westminster.ac.uk,+44 20 3506 5800,+442035065800,https://www.westminster.ac.uk/about-us/our-organisation/marketing-and-communications/press-officeUniversity of Winchester,needs_review,merged_row_url_contamination,,normal
University of Wolverhampton,press.office@wlv.ac.uk,+44 1902 322239,+441902322239,https://www.wlv.ac.uk/about-us/media-centre/press-office/,valid,,,normal
University of Worcester,press.office@worc.ac.uk,+44 1905 542000,+441905542000,https://www.worcester.ac.uk/about/contact-us.aspx,valid,,,normal
Wrexham Glyndŵr University,press.office@wgu.ac.uk,+44 1978 293000,+441978293000,https://www.wgu.ac.uk/about-us/media-contacts,valid,,,normal
University of York,press@york.ac.uk,+44 (0)1904 322525,+4401904322525,https://www.york.ac.uk/about/departments/support-and-administration/communications/press-office/,valid,,,normal
York St John University,press@yorksj.ac.uk,+44 1904 876543,+441904876543,https://www.yorksj.ac.uk/about-us/press-office/,valid,,,normal
