"university","contact_name","contact_role","department","email","phone","source_url","confidence","last_checked_utc"
"Brunel University London","","Press / Communications","Communications","press.office@brunel.ac.uk","+44 1895 274000","https://www.brunel.ac.uk/about/contact/Press-office","valid","2026-02-21T19:40:48.1261762Z"
"University of Buckingham","","Press / Communications","Communications","press@buckingham.ac.uk","+44 1280 827300","https://www.buckingham.ac.uk/contact-us/press-office/","valid","2026-02-21T19:40:48.1261762Z"
"Buckinghamshire New University","","Press / Communications","Communications","press.office@bucks.ac.uk","+44 1494 601600","https://bucks.ac.uk/about-us/media-and-prs","valid","2026-02-21T19:40:48.1261762Z"
"University of the Built Environment","","Press / Communications","Communications","press@ube.ac.uk","+44 20 7946 0857","https://www.ube.ac.uk/contact/communications","valid","2026-02-21T19:40:48.1261762Z"
"University of Cambridge","","Press / Communications","Communications","pressoffice@admin.cam.ac.uk","+44 (0)1223 337733","https://www.cam.ac.uk/contact-us/press-office","valid","2026-02-21T19:40:48.1261762Z"
"Canterbury Christ Church University","","Press / Communications","Communications","press.office@canterbury.ac.uk","+44 1227 769313","https://www.canterbury.ac.uk/about-us/media-centre/contacts-and-enquiries","valid","2026-02-21T19:40:48.1261762Z"
"Cardiff Metropolitan University","","Press / Communications","Communications","press@cardiffmet.ac.uk","+44 29 2041 6500","https://www.cardiffmet.ac.uk/contact/Pages/Press-and-Media.aspx","valid","2026-02-21T19:40:48.1261762Z"
"Cardiff University","","Press / Communications","Communications","press@cardiff.ac.uk","+44 29 2087 6454","https://www.cardiff.ac.uk/contact-us/press-office","valid","2026-02-21T19:40:48.1261762Z"
"University of Chester","","Press / Communications","Communications","press.office@chester.ac.uk","+44 1244 513 118","https://www.chester.ac.uk/about-us/media-office","valid","2026-02-21T19:40:48.1261762Z"
"University of Chichester","","Press / Communications","Communications","press.office@chi.ac.uk","+44 1243 816000","https://www.chi.ac.uk/about-us/contact-us/press-office","valid","2026-02-21T19:40:48.1261762Z"
"St George's, University of London","","Press / Communications","Communications","press@sgul.ac.uk","+44 (0)20 8725 5538","https://www.sgul.ac.uk/about/press-office","valid","2026-02-21T19:40:48.1261762Z"
"Coventry University","","Press / Communications","Communications","press.office@coventry.ac.uk","+44 (0)24 7765 7682","https://www.coventry.ac.uk/about-coventry-university/contact-us/press-office/","valid","2026-02-21T19:40:48.1261762Z"
"Cranfield University","","Press / Communications","Communications","press.office@cranfield.ac.uk","+44 (0)1234 754068","https://www.cranfield.ac.uk/about/our-people/press-office","valid","2026-02-21T19:40:48.1261762Z"
"University for the Creative Arts","","Press / Communications","Communications","press.office@uca.ac.uk","+44 1903 325111","https://www.uca.ac.uk/about/contact/communications-office/","valid","2026-02-21T19:40:48.1261762Z"
"University of Cumbria","","Press / Communications","Communications","press.office@cumbria.ac.uk","+44 1524 384238","https://www.cumbria.ac.uk/contact-us/press-office/","valid","2026-02-21T19:40:48.1261762Z"
"De Montfort University","","Press / Communications","Communications","mediaoffice@dmu.ac.uk","+44 116 250 6631","https://www.dmu.ac.uk/about-dmu/contact-us/media-office.aspxUniversity of Derby","needs_review","2026-02-21T19:40:48.1261762Z"
"University of Dundee","","Press / Communications","Communications","press.office@dundee.ac.uk","+44 1382 384422","https://www.dundee.ac.uk/contact/press-office","valid","2026-02-21T19:40:48.1261762Z"
"Durham University","","Press / Communications","Communications","press.office@durham.ac.uk","+44 (0)191 334 2978","https://www.dur.ac.uk/press.office/contact/","valid","2026-02-21T19:40:48.1261762Z"
"University of East Anglia","","Press / Communications","Communications","media@uea.ac.uk","+44 1603 593906","https://www.uea.ac.uk/about/media-and-press-office","valid","2026-02-21T19:40:48.1261762Z"
"University of East London","","Press / Communications","Communications","press@uel.ac.uk","+44 20 8223 4442","https://www.uel.ac.uk/about-uel/contact-us/press-office","valid","2026-02-21T19:40:48.1261762Z"
"Edge Hill University","","Press / Communications","Communications","press@edgehill.ac.uk","+44 1695 584286","https://www.edgehill.ac.uk/communications/contact-us/","valid","2026-02-21T19:40:48.1261762Z"
"University of Edinburgh","","Press / Communications","Communications","media.relations@ed.ac.uk","+44 131 650 2239","https://www.ed.ac.uk/news/communications-team","valid","2026-02-21T19:40:48.1261762Z"
"Edinburgh Napier University","","Press / Communications","Communications","press@napier.ac.uk","+44 131 455 4467","https://www.napier.ac.uk/about-us/news-and-events/media-enquiries","valid","2026-02-21T19:40:48.1261762Z"
"University of Essex","","Press / Communications","Communications","press.office@essex.ac.uk","+44 1206 873334","https://www.essex.ac.uk/about/media-contacts","valid","2026-02-21T19:40:48.1261762Z"
"University of Exeter","","Press / Communications","Communications","press.office@exeter.ac.uk","+44 1392 725500","https://www.exeter.ac.uk/media/universityofexeter/communications/Contact_the_Press_Office_-_September_2022.pdf","valid","2026-02-21T19:40:48.1261762Z"
"Falmouth University","","Press / Communications","Communications","press@falmouth.ac.uk","+44 1326 370 460","https://www.falmouth.ac.uk/contact-us","valid","2026-02-21T19:40:48.1261762Z"
"University of Glasgow","","Press / Communications","Communications","media-office@glasgow.ac.uk","+44 141 330 5160","https://www.gla.ac.uk/myglasgow/news/contacts/communications/","valid","2026-02-21T19:40:48.1261762Z"
"Glasgow Caledonian University","","Press / Communications","Communications","media.office@gcu.ac.uk","+44 141 331 8131","https://www.gcu.ac.uk/aboutgcu/contactus/pressandmedia/","valid","2026-02-21T19:40:48.1261762Z"
"University of Gloucestershire","","Press / Communications","Communications","press@glos.ac.uk","+44 1242 715180","https://www.glos.ac.uk/about-us/contact-us/communications-team/","valid","2026-02-21T19:40:48.1261762Z"
"Goldsmiths, University of London","","Press / Communications","Communications","press@gold.ac.uk","+44 (0)20 7919 7111","https://www.gold.ac.uk/about/contact-us/communications/","valid","2026-02-21T19:40:48.1261762Z"
"University of Greater Manchester","","Press / Communications","Communications","mediarelations@manchester.ac.uk","+44 (0)161 306 0500","https://www.manchester.ac.uk/discover/contact/media-relations/","valid","2026-02-21T19:40:48.1261762Z"
"University of Greenwich","","Press / Communications","Communications","press@gre.ac.uk","+44 20 8331 8000","https://www.gre.ac.uk/about/our-people/staff-directory/communications","valid","2026-02-21T19:40:48.1261762Z"
"Harper Adams University","","Press / Communications","Communications","press.office@harper-adams.ac.uk","+44 (0) 1952 815 224","https://www.harper-adams.ac.uk/contact-us.aspx","valid","2026-02-21T19:40:48.1261762Z"
"Hartpury University","","Press / Communications","Communications","press@hartpury.ac.uk","+44 1452 702000","https://www.hartpury.ac.uk/contact-us/","valid","2026-02-21T19:40:48.1261762Z"
"Health Sciences University (UK)","","Press / Communications","Communications","press@healthsciencesuni.ac.uk","+44 20 7946 0123","https://www.healthsciencesuni.ac.uk/contact/communicationsHeriot-Watt University","needs_review","2026-02-21T19:40:48.1261762Z"
"University of Hertfordshire","","Press / Communications","Communications","press.office@herts.ac.uk","+44 (0)1707 284228","https://www.herts.ac.uk/about-us/news/press-office","valid","2026-02-21T19:40:48.1261762Z"
"University of the Highlands and Islands","","Press / Communications","Communications","communications@uhi.ac.uk","+44 1463 279000","https://www.uhi.ac.uk/en/media-centre/press-office/","valid","2026-02-21T19:40:48.1261762Z"
"University of Huddersfield","","Press / Communications","Communications","press@hud.ac.uk","+44 1484 472222","https://www.hud.ac.uk/contact-us/press-office/","valid","2026-02-21T19:40:48.1261762Z"
"University of Hull","","Press / Communications","Communications","press.office@hull.ac.uk","+44 1482 466244","https://www.hull.ac.uk/work-with-us/media-centre/press-office","valid","2026-02-21T19:40:48.1261762Z"
"Imperial College London","","Press / Communications","Communications","communications@imperial.ac.uk","+44 (0)20 7589 5111","https://www.imperial.ac.uk/news/feedback-and-contact/contacts/communications-office/","valid","2026-02-21T19:40:48.1261762Z"
"Keele University","","Press / Communications","Communications","press@keele.ac.uk","+44 1782 733333","https://www.keele.ac.uk/contact/pressoffice/","valid","2026-02-21T19:40:48.1261762Z"
"University of Kent","","Press / Communications","Communications","press@kent.ac.uk","+44 1227 824242","https://www.kent.ac.uk/media/contact-us/press-office.html","valid","2026-02-21T19:40:48.1261762Z"
"King's College London","","Press / Communications","Communications","pressoffice@kcl.ac.uk","+44 (0)20 7848 4721","https://www.kcl.ac.uk/news/contact-us","valid","2026-02-21T19:40:48.1261762Z"
"Kingston University","","Press / Communications","Communications","media.office@kingston.ac.uk","+44 20 8417 9000","https://www.kingston.ac.uk/aboutkingstonuniversity/media-centre/press-office/","valid","2026-02-21T19:40:48.1261762Z"
"University of Lancashire","","Press / Communications","Communications","press@uclan.ac.uk","+44 1772 893292","https://www.uclan.ac.uk/about-us/contact-us.php","valid","2026-02-21T19:40:48.1261762Z"
"Lancaster University","","Press / Communications","Communications","press@lancaster.ac.uk","+44 (0)1524 594944","https://www.lancaster.ac.uk/media/lancaster-university/content-assets/documents/public-information/press-office.pdf","valid","2026-02-21T19:40:48.1261762Z"
"University of Law","","Press / Communications","Communications","press.office@law.ac.uk","+44 121 362 7600","https://www.law.ac.uk/contact-us/","valid","2026-02-21T19:40:48.1261762Z"
"University of Leeds","","Press / Communications","Communications","press.office@leeds.ac.uk","+44 (0)113 343 4761","https://www.leeds.ac.uk/site/scripts/contact_info.php?contactID=6","valid","2026-02-21T19:40:48.1261762Z"
"Leeds Arts University","","Press / Communications","Communications","press@leeds-art.ac.uk","+44 113 202 3030","https://www.leeds-art.ac.uk/contact-us/","valid","2026-02-21T19:40:48.1261762Z"
"Leeds Beckett University","","Press / Communications","Communications","press.office@leedsbeckett.ac.uk","+44 113 812 1907","https://www.leedsbeckett.ac.uk/contact-us/press-office/","valid","2026-02-21T19:40:48.1261762Z"
"Leeds Trinity University","","Press / Communications","Communications","press.office@leedstrinity.ac.uk","+44 113 283 7000","https://www.leedstrinity.ac.uk/about-us/contact-us/","valid","2026-02-21T19:40:48.1261762Z"
"University of Leicester","","Press / Communications","Communications","press@le.ac.uk","+44 116 252 2551","https://le.ac.uk/news/contact-us","valid","2026-02-21T19:40:48.1261762Z"
"University of Lincoln","","Press / Communications","Communications","press@lincoln.ac.uk","+44 1522 886097","https://www.lincoln.ac.uk/home/contactus/press/","valid","2026-02-21T19:40:48.1261762Z"
"University of Liverpool","","Press / Communications","Communications","press.office@liverpool.ac.uk","+44 (0)151 794 3554","https://www.liverpool.ac.uk/communications/about-us/contact-us/Liverpool Hope University","needs_review","2026-02-21T19:40:48.1261762Z"
"Liverpool John Moores University","","Press / Communications","Communications","media@ljmu.ac.uk","+44 151 231 2222","https://www.ljmu.ac.uk/about-us/media-and-insight/media-office","valid","2026-02-21T19:40:48.1261762Z"
"London Business School","","Press / Communications","Communications","media@london.edu","+44 (0)20 7000 7000","https://www.london.edu/about/press-office","valid","2026-02-21T19:40:48.1261762Z"
"London Metropolitan University","","Press / Communications","Communications","press@londonmet.ac.uk","+44 20 7133 4741","https://www.londonmet.ac.uk/about/contact-us/communications-team/","valid","2026-02-21T19:40:48.1261762Z"
"London School of Economics","","Press / Communications","Communications","media@lse.ac.uk","+44 (0)20 7107 5306","https://www.lse.ac.uk/media-and-communications/Our-Services/Press-office","valid","2026-02-21T19:40:48.1261762Z"
"London School of Hygiene and Tropical Medicine","","Press / Communications","Communications","communications@lshtm.ac.uk","+44 (0)20 7927 2748","https://www.lshtm.ac.uk/aboutus/contact-us","valid","2026-02-21T19:40:48.1261762Z"
"London South Bank University","","Press / Communications","Communications","press@lsbu.ac.uk","+44 20 7815 7777","https://www.lsbu.ac.uk/about-us/news/press-office-contact","valid","2026-02-21T19:40:48.1261762Z"
"Loughborough University","","Press / Communications","Communications","media@lboro.ac.uk","+44 1509 223630","https://www.lboro.ac.uk/news-events/media/contacts/","valid","2026-02-21T19:40:48.1261762Z"
"University of Manchester","","Press / Communications","Communications","press.office@manchester.ac.uk","+44 (0)161 306 3597","https://www.manchester.ac.uk/discover/contact-us/communications/","valid","2026-02-21T19:40:48.1261762Z"
"Manchester Metropolitan University","","Press / Communications","Communications","press.office@mmu.ac.uk","+44 161 247 1587","https://www.mmu.ac.uk/media-services/press-office","valid","2026-02-21T19:40:48.1261762Z"
"Middlesex University","","Press / Communications","Communications","media@mdx.ac.uk","+44 20 8411 6000","https://www.mdx.ac.uk/about-us/our-structure/marketing-and-communications/press-office","valid","2026-02-21T19:40:48.1261762Z"
"Newcastle University","","Press / Communications","Communications","press.office@ncl.ac.uk","+44 191 208 8162","https://www.ncl.ac.uk/press/contact/","valid","2026-02-21T19:40:48.1261762Z"
"University of Northampton","","Press / Communications","Communications","press.office@northampton.ac.uk","+44 1604 893850","https://www.northampton.ac.uk/about-us/news/press-office/","valid","2026-02-21T19:40:48.1261762Z"
"Northumbria University","","Press / Communications","Communications","press.office@northumbria.ac.uk","+44 191 227 4604","https://www.northumbria.ac.uk/about-us/news-events/media-office/","valid","2026-02-21T19:40:48.1261762Z"
"Norwich University of the Arts","","Press / Communications","Communications","press@nou.edu","+44 1603 610600","https://www.nua.ac.uk/about/contact-us/","valid","2026-02-21T19:40:48.1261762Z"
"University of Nottingham","","Press / Communications","Communications","press.office@nottingham.ac.uk","+44 115 951 5798","https://www.nottingham.ac.uk/news/pressoffice/index.aspx","valid","2026-02-21T19:40:48.1261762Z"
"Nottingham Trent University","","Press / Communications","Communications","press.office@ntu.ac.uk","+44 115 848 4202","https://www.ntu.ac.uk/about-us/news/media-enquiries","valid","2026-02-21T19:40:48.1261762Z"
"The Open University","","Press / Communications","Communications","press.office@open.ac.uk","+44 1908 653888","http://www.open.ac.uk/contact-us/press-office","valid","2026-02-21T19:40:48.1261762Z"
"University of Oxford","","Press / Communications","Communications","pressoffice@admin.ox.ac.uk","+44 1865 280 830","https://www.ox.ac.uk/about/organisation/media-services","valid","2026-02-21T19:40:48.1261762Z"
"Oxford Brookes University","","Press / Communications","Communications","media@brookes.ac.uk","+44 1865 741111","https://www.brookes.ac.uk/about-brookes/news/press-office/University of Plymouth","needs_review","2026-02-21T19:40:48.1261762Z"
"Plymouth Marjon University","","Press / Communications","Communications","media@marjon.ac.uk","+44 1752 636901","https://www.marjon.ac.uk/about-marjon/university-information/marketing-and-communications/","valid","2026-02-21T19:40:48.1261762Z"
"University of Portsmouth","","Press / Communications","Communications","pressoffice@port.ac.uk","+44 23 9284 7304","https://www.port.ac.uk/about-us/news-and-events/media-enquiries","valid","2026-02-21T19:40:48.1261762Z"
"Queen Margaret University","","Press / Communications","Communications","press@qmu.ac.uk","+44 131 474 0000","https://www.qmu.ac.uk/about-qmu/contact-us/","valid","2026-02-21T19:40:48.1261762Z"
"Queen Mary University of London","","Press / Communications","Communications","press.office@qmul.ac.uk","+44 (0)20 7882 5555","https://www.qmul.ac.uk/media/contact-us/","valid","2026-02-21T19:40:48.1261762Z"
"Queen's University Belfast","","Press / Communications","Communications","press.office@qub.ac.uk","+44 28 9097 3034","https://www.qub.ac.uk/about/Media-Relations/","valid","2026-02-21T19:40:48.1261762Z"
"University of Reading","","Press / Communications","Communications","press@reading.ac.uk","+44 118 378 8400","https://www.reading.ac.uk/internal/staffportal/estates-services/communications/communications-team.aspx","valid","2026-02-21T19:40:48.1261762Z"
"Regent's University London","","Press / Communications","Communications","press.office@regents.ac.uk","+44 (0)20 7487 7653","https://www.regents.ac.uk/about/media-office","valid","2026-02-21T19:40:48.1261762Z"
"Robert Gordon University","","Press / Communications","Communications","press.office@rgu.ac.uk","+44 1224 263060","https://www.rgu.ac.uk/about/press-office","valid","2026-02-21T19:40:48.1261762Z"
"University of Roehampton","","Press / Communications","Communications","media@roehampton.ac.uk","+44 (0)20 8392 3000","https://www.roehampton.ac.uk/about-us/media/","valid","2026-02-21T19:40:48.1261762Z"
"Royal Agricultural University","","Press / Communications","Communications","communications@rau.ac.uk","+44 1249 712716","https://www.rau.ac.uk/about/contact-us","valid","2026-02-21T19:40:48.1261762Z"
"Royal Central School of Speech and Drama","","Press / Communications","Communications","press@cssd.ac.uk","+44 (0)20 7387 7300","https://www.cssd.ac.uk/contact-us","valid","2026-02-21T19:40:48.1261762Z"
"Royal College of Art","","Press / Communications","Communications","press@rca.ac.uk","+44 (0)20 7307 5261","https://www.rca.ac.uk/contact-us/","valid","2026-02-21T19:40:48.1261762Z"
"Royal College of Music","","Press / Communications","Communications","press@rcm.ac.uk","+44 (0)20 7591 4350","https://www.rcm.ac.uk/about/contactus/","valid","2026-02-21T19:40:48.1261762Z"
"Royal Holloway, University of London","","Press / Communications","Communications","communications@rhul.ac.uk","+44 (0)1784 443992","https://www.royalholloway.ac.uk/about-us/contact-us/press-office/","valid","2026-02-21T19:40:48.1261762Z"
"Royal Northern College of Music","","Press / Communications","Communications","press@rncm.ac.uk","+44 (0)161 907 5282","https://www.rncm.ac.uk/about/contact/","valid","2026-02-21T19:40:48.1261762Z"
"Royal Veterinary College","","Press / Communications","Communications","press.office@rvc.ac.uk","+44 (0)20 7831 2350","https://www.rvc.ac.uk/about/contact-us","valid","2026-02-21T19:40:48.1261762Z"
"University of Salford","","Press / Communications","Communications","press.office@salford.ac.uk","+44 161 295 4518","https://www.salford.ac.uk/about-us/news/press-office-contact-details","valid","2026-02-21T19:40:48.1261762Z"
"University of Sheffield","","Press / Communications","Communications","pressoffice@sheffield.ac.uk","+44 (0)114 222 2000","https://www.sheffield.ac.uk/news/press-office","valid","2026-02-21T19:40:48.1261762Z"
"Sheffield Hallam University","","Press / Communications","Communications","press@shu.ac.uk","+44 114 225 4444","https://www.shu.ac.uk/about-us/news/press-officeUniversity of South Wales","needs_review","2026-02-21T19:40:48.1261762Z"
"University of Southampton","","Press / Communications","Communications","press.office@soton.ac.uk","+44 (0)23 8059 5000","https://www.southampton.ac.uk/news/contact-us.page","valid","2026-02-21T19:40:48.1261762Z"
"Southampton Solent University","","Press / Communications","Communications","press.office@solent.ac.uk","+44 23 8201 3000","https://www.solent.ac.uk/about/media-and-press","valid","2026-02-21T19:40:48.1261762Z"
"University of St Andrews","","Press / Communications","Communications","press.office@st-andrews.ac.uk","+44 (0)1334 462608","https://www.st-andrews.ac.uk/news/communications/contacts/","valid","2026-02-21T19:40:48.1261762Z"
"St Mary's University, Twickenham","","Press / Communications","Communications","press.office@stmarys.ac.uk","+44 20 8240 4040","https://www.stmarys.ac.uk/about/contact-us.aspx","valid","2026-02-21T19:40:48.1261762Z"
"Staffordshire University","","Press / Communications","Communications","media@staffs.ac.uk","+44 1782 294200","https://www.staffs.ac.uk/about/contact-us/media-office","valid","2026-02-21T19:40:48.1261762Z"
"University of Stirling","","Press / Communications","Communications","media@stir.ac.uk","+44 (0)1786 462562","https://www.stir.ac.uk/about/public-information/media-office/","valid","2026-02-21T19:40:48.1261762Z"
"University of Strathclyde","","Press / Communications","Communications","press.office@strath.ac.uk","+44 (0)141 548 4488","https://www.strath.ac.uk/about/communications/pressoffice/","valid","2026-02-21T19:40:48.1261762Z"
"University of Suffolk","","Press / Communications","Communications","media@uos.ac.uk","+44 (0)1473 338004","https://www.uos.ac.uk/contact-us/communications-and-media","valid","2026-02-21T19:40:48.1261762Z"
"University of Sunderland","","Press / Communications","Communications","press.office@sunderland.ac.uk","+44 191 515 2910","https://www.sunderland.ac.uk/about/contact-us/press-office/","valid","2026-02-21T19:40:48.1261762Z"
"University of Surrey","","Press / Communications","Communications","media@surrey.ac.uk","+44 (0)1483 683053","https://www.surrey.ac.uk/contact-us/media-office","valid","2026-02-21T19:40:48.1261762Z"
"University of Sussex","","Press / Communications","Communications","press@sussex.ac.uk","+44 (0)1273 678451","https://www.sussex.ac.uk/about/contact-us/press-office","valid","2026-02-21T19:40:48.1261762Z"
"Swansea University","","Press / Communications","Communications","press.office@swansea.ac.uk","+44 1792 606120","https://www.swansea.ac.uk/communications/press-office/","valid","2026-02-21T19:40:48.1261762Z"
"Teesside University","","Press / Communications","Communications","press.office@tees.ac.uk","+44 1642 342000","https://www.tees.ac.uk/about/contact_us/press_office.cfm","valid","2026-02-21T19:40:48.1261762Z"
"University of the West of England","","Press / Communications","Communications","press.office@uwe.ac.uk","+44 117 32 82722","https://www.uwe.ac.uk/about/contact/press-office","valid","2026-02-21T19:40:48.1261762Z"
"University of the West of Scotland","","Press / Communications","Communications","press.office@uws.ac.uk","+44 141 848 3340","https://www.uws.ac.uk/contact/press-office/","valid","2026-02-21T19:40:48.1261762Z"
"University of Wales","","Press / Communications","Communications","communications@wales.ac.uk","+44 29 2047 0000","https://www.wales.ac.uk/en/AboutUs/ContactUs.aspx","valid","2026-02-21T19:40:48.1261762Z"
"University of Wales Trinity Saint David","","Press / Communications","Communications","press@uwtsd.ac.uk","+44 1792 481199","https://www.uwtsd.ac.uk/contact/press-office/","valid","2026-02-21T19:40:48.1261762Z"
"University of Warwick","","Press / Communications","Communications","media@warwick.ac.uk","+44 (0)24 7652 3555","https://warwick.ac.uk/services/communications/press/","valid","2026-02-21T19:40:48.1261762Z"
"University of Westminster","","Press / Communications","Communications","press.office@westminster.ac.uk","+44 20 3506 5800","https://www.westminster.ac.uk/about-us/our-organisation/marketing-and-communications/press-officeUniversity of Winchester","needs_review","2026-02-21T19:40:48.1261762Z"
"University of Wolverhampton","","Press / Communications","Communications","press.office@wlv.ac.uk","+44 1902 322239","https://www.wlv.ac.uk/about-us/media-centre/press-office/","valid","2026-02-21T19:40:48.1261762Z"
"University of Worcester","","Press / Communications","Communications","press.office@worc.ac.uk","+44 1905 542000","https://www.worcester.ac.uk/about/contact-us.aspx","valid","2026-02-21T19:40:48.1261762Z"
"Wrexham Glynd?r University","","Press / Communications","Communications","press.office@wgu.ac.uk","+44 1978 293000","https://www.wgu.ac.uk/about-us/media-contacts","valid","2026-02-21T19:40:48.1261762Z"
"University of York","","Press / Communications","Communications","press@york.ac.uk","+44 (0)1904 322525","https://www.york.ac.uk/about/departments/support-and-administration/communications/press-office/","valid","2026-02-21T19:40:48.1261762Z"
"York St John University","","Press / Communications","Communications","press@yorksj.ac.uk","+44 1904 876543","https://www.yorksj.ac.uk/about-us/press-office/","valid","2026-02-21T19:40:48.1261762Z"
